nursery,parents,has_nurs,form,children,housing,finance,social,health,class
n2322,usual,improper,incomplete,3,critical,inconv,problematic,not_recom,not_recom
n2323,usual,improper,incomplete,more,convenient,convenient,nonprob,recommended,very_recom
n2324,usual,improper,incomplete,more,convenient,convenient,nonprob,priority,priority
n2325,usual,improper,incomplete,more,convenient,convenient,nonprob,not_recom,not_recom
n2326,usual,improper,incomplete,more,convenient,convenient,slightly_prob,recommended,very_recom
n2327,usual,improper,incomplete,more,convenient,convenient,slightly_prob,priority,priority
n2328,usual,improper,incomplete,more,convenient,convenient,slightly_prob,not_recom,not_recom
n2329,usual,improper,incomplete,more,convenient,convenient,problematic,recommended,priority
n2330,usual,improper,incomplete,more,convenient,convenient,problematic,priority,priority
n2331,usual,improper,incomplete,more,convenient,convenient,problematic,not_recom,not_recom
n2332,usual,improper,incomplete,more,convenient,inconv,nonprob,recommended,priority
n2333,usual,improper,incomplete,more,convenient,inconv,nonprob,priority,priority
n2334,usual,improper,incomplete,more,convenient,inconv,nonprob,not_recom,not_recom
n2335,usual,improper,incomplete,more,convenient,inconv,slightly_prob,recommended,priority
n2336,usual,improper,incomplete,more,convenient,inconv,slightly_prob,priority,priority
n2337,usual,improper,incomplete,more,convenient,inconv,slightly_prob,not_recom,not_recom
n2338,usual,improper,incomplete,more,convenient,inconv,problematic,recommended,priority
n2339,usual,improper,incomplete,more,convenient,inconv,problematic,priority,priority
n2340,usual,improper,incomplete,more,convenient,inconv,problematic,not_recom,not_recom
n2341,usual,improper,incomplete,more,less_conv,convenient,nonprob,recommended,priority
n2342,usual,improper,incomplete,more,less_conv,convenient,nonprob,priority,priority
n2343,usual,improper,incomplete,more,less_conv,convenient,nonprob,not_recom,not_recom
n2344,usual,improper,incomplete,more,less_conv,convenient,slightly_prob,recommended,priority
n2345,usual,improper,incomplete,more,less_conv,convenient,slightly_prob,priority,priority
n2346,usual,improper,incomplete,more,less_conv,convenient,slightly_prob,not_recom,not_recom
n2347,usual,improper,incomplete,more,less_conv,convenient,problematic,recommended,priority
n2348,usual,improper,incomplete,more,less_conv,convenient,problematic,priority,priority
n2349,usual,improper,incomplete,more,less_conv,convenient,problematic,not_recom,not_recom
n2350,usual,improper,incomplete,more,less_conv,inconv,nonprob,recommended,priority
n2351,usual,improper,incomplete,more,less_conv,inconv,nonprob,priority,priority
n2352,usual,improper,incomplete,more,less_conv,inconv,nonprob,not_recom,not_recom
n2353,usual,improper,incomplete,more,less_conv,inconv,slightly_prob,recommended,priority
n2354,usual,improper,incomplete,more,less_conv,inconv,slightly_prob,priority,priority
n2355,usual,improper,incomplete,more,less_conv,inconv,slightly_prob,not_recom,not_recom
n2356,usual,improper,incomplete,more,less_conv,inconv,problematic,recommended,priority
n2357,usual,improper,incomplete,more,less_conv,inconv,problematic,priority,priority
n2358,usual,improper,incomplete,more,less_conv,inconv,problematic,not_recom,not_recom
n2359,usual,improper,incomplete,more,critical,convenient,nonprob,recommended,priority
n2360,usual,improper,incomplete,more,critical,convenient,nonprob,priority,priority
n2361,usual,improper,incomplete,more,critical,convenient,nonprob,not_recom,not_recom
n2362,usual,improper,incomplete,more,critical,convenient,slightly_prob,recommended,priority
n2363,usual,improper,incomplete,more,critical,convenient,slightly_prob,priority,priority
n2364,usual,improper,incomplete,more,critical,convenient,slightly_prob,not_recom,not_recom
n2365,usual,improper,incomplete,more,critical,convenient,problematic,recommended,priority
n2366,usual,improper,incomplete,more,critical,convenient,problematic,priority,priority
n2367,usual,improper,incomplete,more,critical,convenient,problematic,not_recom,not_recom
n2368,usual,improper,incomplete,more,critical,inconv,nonprob,recommended,priority
n2369,usual,improper,incomplete,more,critical,inconv,nonprob,priority,priority
n2370,usual,improper,incomplete,more,critical,inconv,nonprob,not_recom,not_recom
n2371,usual,improper,incomplete,more,critical,inconv,slightly_prob,recommended,priority
n2372,usual,improper,incomplete,more,critical,inconv,slightly_prob,priority,priority
n2373,usual,improper,incomplete,more,critical,inconv,slightly_prob,not_recom,not_recom
n2374,usual,improper,incomplete,more,critical,inconv,problematic,recommended,priority
n2375,usual,improper,incomplete,more,critical,inconv,problematic,priority,priority
n2376,usual,improper,incomplete,more,critical,inconv,problematic,not_recom,not_recom
n2377,usual,improper,foster,1,convenient,convenient,nonprob,recommended,very_recom
n2378,usual,improper,foster,1,convenient,convenient,nonprob,priority,priority
n2379,usual,improper,foster,1,convenient,convenient,nonprob,not_recom,not_recom
n2380,usual,improper,foster,1,convenient,convenient,slightly_prob,recommended,very_recom
n2381,usual,improper,foster,1,convenient,convenient,slightly_prob,priority,priority
n2382,usual,improper,foster,1,convenient,convenient,slightly_prob,not_recom,not_recom
n2383,usual,improper,foster,1,convenient,convenient,problematic,recommended,priority
n2384,usual,improper,foster,1,convenient,convenient,problematic,priority,priority
n2385,usual,improper,foster,1,convenient,convenient,problematic,not_recom,not_recom
n2386,usual,improper,foster,1,convenient,inconv,nonprob,recommended,priority
n2387,usual,improper,foster,1,convenient,inconv,nonprob,priority,priority
n2388,usual,improper,foster,1,convenient,inconv,nonprob,not_recom,not_recom
n2389,usual,improper,foster,1,convenient,inconv,slightly_prob,recommended,priority
n2390,usual,improper,foster,1,convenient,inconv,slightly_prob,priority,priority
n2391,usual,improper,foster,1,convenient,inconv,slightly_prob,not_recom,not_recom
n2392,usual,improper,foster,1,convenient,inconv,problematic,recommended,priority
n2393,usual,improper,foster,1,convenient,inconv,problematic,priority,priority
n2394,usual,improper,foster,1,convenient,inconv,problematic,not_recom,not_recom
n2395,usual,improper,foster,1,less_conv,convenient,nonprob,recommended,priority
n2396,usual,improper,foster,1,less_conv,convenient,nonprob,priority,priority
n2397,usual,improper,foster,1,less_conv,convenient,nonprob,not_recom,not_recom
n2398,usual,improper,foster,1,less_conv,convenient,slightly_prob,recommended,priority
n2399,usual,improper,foster,1,less_conv,convenient,slightly_prob,priority,priority
n2400,usual,improper,foster,1,less_conv,convenient,slightly_prob,not_recom,not_recom
n2401,usual,improper,foster,1,less_conv,convenient,problematic,recommended,priority
n2402,usual,improper,foster,1,less_conv,convenient,problematic,priority,priority
n2403,usual,improper,foster,1,less_conv,convenient,problematic,not_recom,not_recom
n2404,usual,improper,foster,1,less_conv,inconv,nonprob,recommended,priority
n2405,usual,improper,foster,1,less_conv,inconv,nonprob,priority,priority
n2406,usual,improper,foster,1,less_conv,inconv,nonprob,not_recom,not_recom
n2407,usual,improper,foster,1,less_conv,inconv,slightly_prob,recommended,priority
n2408,usual,improper,foster,1,less_conv,inconv,slightly_prob,priority,priority
n2409,usual,improper,foster,1,less_conv,inconv,slightly_prob,not_recom,not_recom
n2410,usual,improper,foster,1,less_conv,inconv,problematic,recommended,priority
n2411,usual,improper,foster,1,less_conv,inconv,problematic,priority,priority
n2412,usual,improper,foster,1,less_conv,inconv,problematic,not_recom,not_recom
n2413,usual,improper,foster,1,critical,convenient,nonprob,recommended,priority
n2414,usual,improper,foster,1,critical,convenient,nonprob,priority,priority
n2415,usual,improper,foster,1,critical,convenient,nonprob,not_recom,not_recom
n2416,usual,improper,foster,1,critical,convenient,slightly_prob,recommended,priority
n2417,usual,improper,foster,1,critical,convenient,slightly_prob,priority,priority
n2418,usual,improper,foster,1,critical,convenient,slightly_prob,not_recom,not_recom
n2419,usual,improper,foster,1,critical,convenient,problematic,recommended,priority
n2420,usual,improper,foster,1,critical,convenient,problematic,priority,priority
n2421,usual,improper,foster,1,critical,convenient,problematic,not_recom,not_recom
n2422,usual,improper,foster,1,critical,inconv,nonprob,recommended,priority
n2423,usual,improper,foster,1,critical,inconv,nonprob,priority,priority
n2424,usual,improper,foster,1,critical,inconv,nonprob,not_recom,not_recom
n2425,usual,improper,foster,1,critical,inconv,slightly_prob,recommended,priority
n2426,usual,improper,foster,1,critical,inconv,slightly_prob,priority,priority
n2427,usual,improper,foster,1,critical,inconv,slightly_prob,not_recom,not_recom
n2428,usual,improper,foster,1,critical,inconv,problematic,recommended,priority
n2429,usual,improper,foster,1,critical,inconv,problematic,priority,priority
n2430,usual,improper,foster,1,critical,inconv,problematic,not_recom,not_recom
n2431,usual,improper,foster,2,convenient,convenient,nonprob,recommended,very_recom
n2432,usual,improper,foster,2,convenient,convenient,nonprob,priority,priority
n2433,usual,improper,foster,2,convenient,convenient,nonprob,not_recom,not_recom
n2434,usual,improper,foster,2,convenient,convenient,slightly_prob,recommended,very_recom
n2435,usual,improper,foster,2,convenient,convenient,slightly_prob,priority,priority
n2436,usual,improper,foster,2,convenient,convenient,slightly_prob,not_recom,not_recom
n2437,usual,improper,foster,2,convenient,convenient,problematic,recommended,priority
n2438,usual,improper,foster,2,convenient,convenient,problematic,priority,priority
n2439,usual,improper,foster,2,convenient,convenient,problematic,not_recom,not_recom
n2440,usual,improper,foster,2,convenient,inconv,nonprob,recommended,priority
n2441,usual,improper,foster,2,convenient,inconv,nonprob,priority,priority
n2442,usual,improper,foster,2,convenient,inconv,nonprob,not_recom,not_recom
n2443,usual,improper,foster,2,convenient,inconv,slightly_prob,recommended,priority
n2444,usual,improper,foster,2,convenient,inconv,slightly_prob,priority,priority
n2445,usual,improper,foster,2,convenient,inconv,slightly_prob,not_recom,not_recom
n2446,usual,improper,foster,2,convenient,inconv,problematic,recommended,priority
n2447,usual,improper,foster,2,convenient,inconv,problematic,priority,priority
n2448,usual,improper,foster,2,convenient,inconv,problematic,not_recom,not_recom
n2449,usual,improper,foster,2,less_conv,convenient,nonprob,recommended,priority
n2450,usual,improper,foster,2,less_conv,convenient,nonprob,priority,priority
n2451,usual,improper,foster,2,less_conv,convenient,nonprob,not_recom,not_recom
n2452,usual,improper,foster,2,less_conv,convenient,slightly_prob,recommended,priority
n2453,usual,improper,foster,2,less_conv,convenient,slightly_prob,priority,priority
n2454,usual,improper,foster,2,less_conv,convenient,slightly_prob,not_recom,not_recom
n2455,usual,improper,foster,2,less_conv,convenient,problematic,recommended,priority
n2456,usual,improper,foster,2,less_conv,convenient,problematic,priority,priority
n2457,usual,improper,foster,2,less_conv,convenient,problematic,not_recom,not_recom
n2458,usual,improper,foster,2,less_conv,inconv,nonprob,recommended,priority
n2459,usual,improper,foster,2,less_conv,inconv,nonprob,priority,priority
n2460,usual,improper,foster,2,less_conv,inconv,nonprob,not_recom,not_recom
n2461,usual,improper,foster,2,less_conv,inconv,slightly_prob,recommended,priority
n2462,usual,improper,foster,2,less_conv,inconv,slightly_prob,priority,priority
n2463,usual,improper,foster,2,less_conv,inconv,slightly_prob,not_recom,not_recom
n2464,usual,improper,foster,2,less_conv,inconv,problematic,recommended,priority
n2465,usual,improper,foster,2,less_conv,inconv,problematic,priority,priority
n2466,usual,improper,foster,2,less_conv,inconv,problematic,not_recom,not_recom
n2467,usual,improper,foster,2,critical,convenient,nonprob,recommended,priority
n2468,usual,improper,foster,2,critical,convenient,nonprob,priority,priority
n2469,usual,improper,foster,2,critical,convenient,nonprob,not_recom,not_recom
n2470,usual,improper,foster,2,critical,convenient,slightly_prob,recommended,priority
n2471,usual,improper,foster,2,critical,convenient,slightly_prob,priority,priority
n2472,usual,improper,foster,2,critical,convenient,slightly_prob,not_recom,not_recom
n2473,usual,improper,foster,2,critical,convenient,problematic,recommended,priority
n2474,usual,improper,foster,2,critical,convenient,problematic,priority,priority
n2475,usual,improper,foster,2,critical,convenient,problematic,not_recom,not_recom
n2476,usual,improper,foster,2,critical,inconv,nonprob,recommended,priority
n2477,usual,improper,foster,2,critical,inconv,nonprob,priority,priority
n2478,usual,improper,foster,2,critical,inconv,nonprob,not_recom,not_recom
n2479,usual,improper,foster,2,critical,inconv,slightly_prob,recommended,priority
n2480,usual,improper,foster,2,critical,inconv,slightly_prob,priority,priority
n2481,usual,improper,foster,2,critical,inconv,slightly_prob,not_recom,not_recom
n2482,usual,improper,foster,2,critical,inconv,problematic,recommended,priority
n2483,usual,improper,foster,2,critical,inconv,problematic,priority,priority
n2484,usual,improper,foster,2,critical,inconv,problematic,not_recom,not_recom
n2485,usual,improper,foster,3,convenient,convenient,nonprob,recommended,very_recom
n2486,usual,improper,foster,3,convenient,convenient,nonprob,priority,priority
n2487,usual,improper,foster,3,convenient,convenient,nonprob,not_recom,not_recom
n2488,usual,improper,foster,3,convenient,convenient,slightly_prob,recommended,very_recom
n2489,usual,improper,foster,3,convenient,convenient,slightly_prob,priority,priority
n2490,usual,improper,foster,3,convenient,convenient,slightly_prob,not_recom,not_recom
n2491,usual,improper,foster,3,convenient,convenient,problematic,recommended,priority
n2492,usual,improper,foster,3,convenient,convenient,problematic,priority,priority
n2493,usual,improper,foster,3,convenient,convenient,problematic,not_recom,not_recom
n2494,usual,improper,foster,3,convenient,inconv,nonprob,recommended,priority
n2495,usual,improper,foster,3,convenient,inconv,nonprob,priority,priority
n2496,usual,improper,foster,3,convenient,inconv,nonprob,not_recom,not_recom
n2497,usual,improper,foster,3,convenient,inconv,slightly_prob,recommended,priority
n2498,usual,improper,foster,3,convenient,inconv,slightly_prob,priority,priority
n2499,usual,improper,foster,3,convenient,inconv,slightly_prob,not_recom,not_recom
n2500,usual,improper,foster,3,convenient,inconv,problematic,recommended,priority
n2501,usual,improper,foster,3,convenient,inconv,problematic,priority,priority
n2502,usual,improper,foster,3,convenient,inconv,problematic,not_recom,not_recom
n2503,usual,improper,foster,3,less_conv,convenient,nonprob,recommended,priority
n2504,usual,improper,foster,3,less_conv,convenient,nonprob,priority,priority
n2505,usual,improper,foster,3,less_conv,convenient,nonprob,not_recom,not_recom
n2506,usual,improper,foster,3,less_conv,convenient,slightly_prob,recommended,priority
n2507,usual,improper,foster,3,less_conv,convenient,slightly_prob,priority,priority
n2508,usual,improper,foster,3,less_conv,convenient,slightly_prob,not_recom,not_recom
n2509,usual,improper,foster,3,less_conv,convenient,problematic,recommended,priority
n2510,usual,improper,foster,3,less_conv,convenient,problematic,priority,priority
n2511,usual,improper,foster,3,less_conv,convenient,problematic,not_recom,not_recom
n2512,usual,improper,foster,3,less_conv,inconv,nonprob,recommended,priority
n2513,usual,improper,foster,3,less_conv,inconv,nonprob,priority,priority
n2514,usual,improper,foster,3,less_conv,inconv,nonprob,not_recom,not_recom
n2515,usual,improper,foster,3,less_conv,inconv,slightly_prob,recommended,priority
n2516,usual,improper,foster,3,less_conv,inconv,slightly_prob,priority,priority
n2517,usual,improper,foster,3,less_conv,inconv,slightly_prob,not_recom,not_recom
n2518,usual,improper,foster,3,less_conv,inconv,problematic,recommended,priority
n2519,usual,improper,foster,3,less_conv,inconv,problematic,priority,priority
n2520,usual,improper,foster,3,less_conv,inconv,problematic,not_recom,not_recom
n2521,usual,improper,foster,3,critical,convenient,nonprob,recommended,priority
n2522,usual,improper,foster,3,critical,convenient,nonprob,priority,priority
n2523,usual,improper,foster,3,critical,convenient,nonprob,not_recom,not_recom
n2524,usual,improper,foster,3,critical,convenient,slightly_prob,recommended,priority
n2525,usual,improper,foster,3,critical,convenient,slightly_prob,priority,priority
n2526,usual,improper,foster,3,critical,convenient,slightly_prob,not_recom,not_recom
n2527,usual,improper,foster,3,critical,convenient,problematic,recommended,priority
n2528,usual,improper,foster,3,critical,convenient,problematic,priority,priority
n2529,usual,improper,foster,3,critical,convenient,problematic,not_recom,not_recom
n2530,usual,improper,foster,3,critical,inconv,nonprob,recommended,priority
n2531,usual,improper,foster,3,critical,inconv,nonprob,priority,priority
n2532,usual,improper,foster,3,critical,inconv,nonprob,not_recom,not_recom
n2533,usual,improper,foster,3,critical,inconv,slightly_prob,recommended,priority
n2534,usual,improper,foster,3,critical,inconv,slightly_prob,priority,priority
n2535,usual,improper,foster,3,critical,inconv,slightly_prob,not_recom,not_recom
n2536,usual,improper,foster,3,critical,inconv,problematic,recommended,priority
n2537,usual,improper,foster,3,critical,inconv,problematic,priority,priority
n2538,usual,improper,foster,3,critical,inconv,problematic,not_recom,not_recom
n2539,usual,improper,foster,more,convenient,convenient,nonprob,recommended,very_recom
n2540,usual,improper,foster,more,convenient,convenient,nonprob,priority,priority
n2541,usual,improper,foster,more,convenient,convenient,nonprob,not_recom,not_recom
n2542,usual,improper,foster,more,convenient,convenient,slightly_prob,recommended,very_recom
n2543,usual,improper,foster,more,convenient,convenient,slightly_prob,priority,priority
n2544,usual,improper,foster,more,convenient,convenient,slightly_prob,not_recom,not_recom
n2545,usual,improper,foster,more,convenient,convenient,problematic,recommended,priority
n2546,usual,improper,foster,more,convenient,convenient,problematic,priority,priority
n2547,usual,improper,foster,more,convenient,convenient,problematic,not_recom,not_recom
n2548,usual,improper,foster,more,convenient,inconv,nonprob,recommended,priority
n2549,usual,improper,foster,more,convenient,inconv,nonprob,priority,priority
n2550,usual,improper,foster,more,convenient,inconv,nonprob,not_recom,not_recom
n2551,usual,improper,foster,more,convenient,inconv,slightly_prob,recommended,priority
n2552,usual,improper,foster,more,convenient,inconv,slightly_prob,priority,priority
n2553,usual,improper,foster,more,convenient,inconv,slightly_prob,not_recom,not_recom
n2554,usual,improper,foster,more,convenient,inconv,problematic,recommended,priority
n2555,usual,improper,foster,more,convenient,inconv,problematic,priority,priority
n2556,usual,improper,foster,more,convenient,inconv,problematic,not_recom,not_recom
n2557,usual,improper,foster,more,less_conv,convenient,nonprob,recommended,priority
n2558,usual,improper,foster,more,less_conv,convenient,nonprob,priority,priority
n2559,usual,improper,foster,more,less_conv,convenient,nonprob,not_recom,not_recom
n2560,usual,improper,foster,more,less_conv,convenient,slightly_prob,recommended,priority
n2561,usual,improper,foster,more,less_conv,convenient,slightly_prob,priority,priority
n2562,usual,improper,foster,more,less_conv,convenient,slightly_prob,not_recom,not_recom
n2563,usual,improper,foster,more,less_conv,convenient,problematic,recommended,priority
n2564,usual,improper,foster,more,less_conv,convenient,problematic,priority,priority
n2565,usual,improper,foster,more,less_conv,convenient,problematic,not_recom,not_recom
n2566,usual,improper,foster,more,less_conv,inconv,nonprob,recommended,priority
n2567,usual,improper,foster,more,less_conv,inconv,nonprob,priority,priority
n2568,usual,improper,foster,more,less_conv,inconv,nonprob,not_recom,not_recom
n2569,usual,improper,foster,more,less_conv,inconv,slightly_prob,recommended,priority
n2570,usual,improper,foster,more,less_conv,inconv,slightly_prob,priority,priority
n2571,usual,improper,foster,more,less_conv,inconv,slightly_prob,not_recom,not_recom
n2572,usual,improper,foster,more,less_conv,inconv,problematic,recommended,priority
n2573,usual,improper,foster,more,less_conv,inconv,problematic,priority,priority
n2574,usual,improper,foster,more,less_conv,inconv,problematic,not_recom,not_recom
n2575,usual,improper,foster,more,critical,convenient,nonprob,recommended,priority
n2576,usual,improper,foster,more,critical,convenient,nonprob,priority,priority
n2577,usual,improper,foster,more,critical,convenient,nonprob,not_recom,not_recom
n2578,usual,improper,foster,more,critical,convenient,slightly_prob,recommended,priority
n2579,usual,improper,foster,more,critical,convenient,slightly_prob,priority,priority
n2580,usual,improper,foster,more,critical,convenient,slightly_prob,not_recom,not_recom
n2581,usual,improper,foster,more,critical,convenient,problematic,recommended,priority
n2582,usual,improper,foster,more,critical,convenient,problematic,priority,priority
n2583,usual,improper,foster,more,critical,convenient,problematic,not_recom,not_recom
n2584,usual,improper,foster,more,critical,inconv,nonprob,recommended,priority
n2585,usual,improper,foster,more,critical,inconv,nonprob,priority,priority
n2586,usual,improper,foster,more,critical,inconv,nonprob,not_recom,not_recom
n2587,usual,improper,foster,more,critical,inconv,slightly_prob,recommended,priority
n2588,usual,improper,foster,more,critical,inconv,slightly_prob,priority,priority
n2589,usual,improper,foster,more,critical,inconv,slightly_prob,not_recom,not_recom
n2590,usual,improper,foster,more,critical,inconv,problematic,recommended,priority
n2591,usual,improper,foster,more,critical,inconv,problematic,priority,priority
n2592,usual,improper,foster,more,critical,inconv,problematic,not_recom,not_recom
n2593,usual,critical,complete,1,convenient,convenient,nonprob,recommended,priority
n2594,usual,critical,complete,1,convenient,convenient,nonprob,priority,priority
n2595,usual,critical,complete,1,convenient,convenient,nonprob,not_recom,not_recom
n2596,usual,critical,complete,1,convenient,convenient,slightly_prob,recommended,priority
n2597,usual,critical,complete,1,convenient,convenient,slightly_prob,priority,priority
n2598,usual,critical,complete,1,convenient,convenient,slightly_prob,not_recom,not_recom
n2599,usual,critical,complete,1,convenient,convenient,problematic,recommended,priority
n2600,usual,critical,complete,1,convenient,convenient,problematic,priority,priority
n2601,usual,critical,complete,1,convenient,convenient,problematic,not_recom,not_recom
n2602,usual,critical,complete,1,convenient,inconv,nonprob,recommended,priority
n2603,usual,critical,complete,1,convenient,inconv,nonprob,priority,priority
n2604,usual,critical,complete,1,convenient,inconv,nonprob,not_recom,not_recom
n2605,usual,critical,complete,1,convenient,inconv,slightly_prob,recommended,priority
n2606,usual,critical,complete,1,convenient,inconv,slightly_prob,priority,priority
n2607,usual,critical,complete,1,convenient,inconv,slightly_prob,not_recom,not_recom
n2608,usual,critical,complete,1,convenient,inconv,problematic,recommended,priority
n2609,usual,critical,complete,1,convenient,inconv,problematic,priority,priority
n2610,usual,critical,complete,1,convenient,inconv,problematic,not_recom,not_recom
n2611,usual,critical,complete,1,less_conv,convenient,nonprob,recommended,priority
n2612,usual,critical,complete,1,less_conv,convenient,nonprob,priority,priority
n2613,usual,critical,complete,1,less_conv,convenient,nonprob,not_recom,not_recom
n2614,usual,critical,complete,1,less_conv,convenient,slightly_prob,recommended,priority
n2615,usual,critical,complete,1,less_conv,convenient,slightly_prob,priority,priority
n2616,usual,critical,complete,1,less_conv,convenient,slightly_prob,not_recom,not_recom
n2617,usual,critical,complete,1,less_conv,convenient,problematic,recommended,priority
n2618,usual,critical,complete,1,less_conv,convenient,problematic,priority,priority
n2619,usual,critical,complete,1,less_conv,convenient,problematic,not_recom,not_recom
n2620,usual,critical,complete,1,less_conv,inconv,nonprob,recommended,priority
n2621,usual,critical,complete,1,less_conv,inconv,nonprob,priority,priority
n2622,usual,critical,complete,1,less_conv,inconv,nonprob,not_recom,not_recom
n2623,usual,critical,complete,1,less_conv,inconv,slightly_prob,recommended,priority
n2624,usual,critical,complete,1,less_conv,inconv,slightly_prob,priority,priority
n2625,usual,critical,complete,1,less_conv,inconv,slightly_prob,not_recom,not_recom
n2626,usual,critical,complete,1,less_conv,inconv,problematic,recommended,priority
n2627,usual,critical,complete,1,less_conv,inconv,problematic,priority,priority
n2628,usual,critical,complete,1,less_conv,inconv,problematic,not_recom,not_recom
n2629,usual,critical,complete,1,critical,convenient,nonprob,recommended,priority
n2630,usual,critical,complete,1,critical,convenient,nonprob,priority,priority
n2631,usual,critical,complete,1,critical,convenient,nonprob,not_recom,not_recom
n2632,usual,critical,complete,1,critical,convenient,slightly_prob,recommended,priority
n2633,usual,critical,complete,1,critical,convenient,slightly_prob,priority,priority
n2634,usual,critical,complete,1,critical,convenient,slightly_prob,not_recom,not_recom
n2635,usual,critical,complete,1,critical,convenient,problematic,recommended,priority
n2636,usual,critical,complete,1,critical,convenient,problematic,priority,priority
n2637,usual,critical,complete,1,critical,convenient,problematic,not_recom,not_recom
n2638,usual,critical,complete,1,critical,inconv,nonprob,recommended,priority
n2639,usual,critical,complete,1,critical,inconv,nonprob,priority,priority
n2640,usual,critical,complete,1,critical,inconv,nonprob,not_recom,not_recom
n2641,usual,critical,complete,1,critical,inconv,slightly_prob,recommended,priority
n2642,usual,critical,complete,1,critical,inconv,slightly_prob,priority,priority
n2643,usual,critical,complete,1,critical,inconv,slightly_prob,not_recom,not_recom
n2644,usual,critical,complete,1,critical,inconv,problematic,recommended,priority
n2645,usual,critical,complete,1,critical,inconv,problematic,priority,priority
n2646,usual,critical,complete,1,critical,inconv,problematic,not_recom,not_recom
n2647,usual,critical,complete,2,convenient,convenient,nonprob,recommended,priority
n2648,usual,critical,complete,2,convenient,convenient,nonprob,priority,priority
n2649,usual,critical,complete,2,convenient,convenient,nonprob,not_recom,not_recom
n2650,usual,critical,complete,2,convenient,convenient,slightly_prob,recommended,priority
n2651,usual,critical,complete,2,convenient,convenient,slightly_prob,priority,priority
n2652,usual,critical,complete,2,convenient,convenient,slightly_prob,not_recom,not_recom
n2653,usual,critical,complete,2,convenient,convenient,problematic,recommended,priority
n2654,usual,critical,complete,2,convenient,convenient,problematic,priority,priority
n2655,usual,critical,complete,2,convenient,convenient,problematic,not_recom,not_recom
n2656,usual,critical,complete,2,convenient,inconv,nonprob,recommended,priority
n2657,usual,critical,complete,2,convenient,inconv,nonprob,priority,priority
n2658,usual,critical,complete,2,convenient,inconv,nonprob,not_recom,not_recom
n2659,usual,critical,complete,2,convenient,inconv,slightly_prob,recommended,priority
n2660,usual,critical,complete,2,convenient,inconv,slightly_prob,priority,priority
n2661,usual,critical,complete,2,convenient,inconv,slightly_prob,not_recom,not_recom
n2662,usual,critical,complete,2,convenient,inconv,problematic,recommended,priority
n2663,usual,critical,complete,2,convenient,inconv,problematic,priority,priority
n2664,usual,critical,complete,2,convenient,inconv,problematic,not_recom,not_recom
n2665,usual,critical,complete,2,less_conv,convenient,nonprob,recommended,priority
n2666,usual,critical,complete,2,less_conv,convenient,nonprob,priority,priority
n2667,usual,critical,complete,2,less_conv,convenient,nonprob,not_recom,not_recom
n2668,usual,critical,complete,2,less_conv,convenient,slightly_prob,recommended,priority
n2669,usual,critical,complete,2,less_conv,convenient,slightly_prob,priority,priority
n2670,usual,critical,complete,2,less_conv,convenient,slightly_prob,not_recom,not_recom
n2671,usual,critical,complete,2,less_conv,convenient,problematic,recommended,priority
n2672,usual,critical,complete,2,less_conv,convenient,problematic,priority,priority
n2673,usual,critical,complete,2,less_conv,convenient,problematic,not_recom,not_recom
n2674,usual,critical,complete,2,less_conv,inconv,nonprob,recommended,priority
n2675,usual,critical,complete,2,less_conv,inconv,nonprob,priority,priority
n2676,usual,critical,complete,2,less_conv,inconv,nonprob,not_recom,not_recom
n2677,usual,critical,complete,2,less_conv,inconv,slightly_prob,recommended,priority
n2678,usual,critical,complete,2,less_conv,inconv,slightly_prob,priority,priority
n2679,usual,critical,complete,2,less_conv,inconv,slightly_prob,not_recom,not_recom
n2680,usual,critical,complete,2,less_conv,inconv,problematic,recommended,priority
n2681,usual,critical,complete,2,less_conv,inconv,problematic,priority,priority
n2682,usual,critical,complete,2,less_conv,inconv,problematic,not_recom,not_recom
n2683,usual,critical,complete,2,critical,convenient,nonprob,recommended,priority
n2684,usual,critical,complete,2,critical,convenient,nonprob,priority,spec_prior
n2685,usual,critical,complete,2,critical,convenient,nonprob,not_recom,not_recom
n2686,usual,critical,complete,2,critical,convenient,slightly_prob,recommended,priority
n2687,usual,critical,complete,2,critical,convenient,slightly_prob,priority,spec_prior
n2688,usual,critical,complete,2,critical,convenient,slightly_prob,not_recom,not_recom
n2689,usual,critical,complete,2,critical,convenient,problematic,recommended,spec_prior
n2690,usual,critical,complete,2,critical,convenient,problematic,priority,spec_prior
n2691,usual,critical,complete,2,critical,convenient,problematic,not_recom,not_recom
n2692,usual,critical,complete,2,critical,inconv,nonprob,recommended,priority
n2693,usual,critical,complete,2,critical,inconv,nonprob,priority,spec_prior
n2694,usual,critical,complete,2,critical,inconv,nonprob,not_recom,not_recom
n2695,usual,critical,complete,2,critical,inconv,slightly_prob,recommended,priority
n2696,usual,critical,complete,2,critical,inconv,slightly_prob,priority,spec_prior
n2697,usual,critical,complete,2,critical,inconv,slightly_prob,not_recom,not_recom
n2698,usual,critical,complete,2,critical,inconv,problematic,recommended,spec_prior
n2699,usual,critical,complete,2,critical,inconv,problematic,priority,spec_prior
n2700,usual,critical,complete,2,critical,inconv,problematic,not_recom,not_recom
n2701,usual,critical,complete,3,convenient,convenient,nonprob,recommended,priority
n2702,usual,critical,complete,3,convenient,convenient,nonprob,priority,priority
n2703,usual,critical,complete,3,convenient,convenient,nonprob,not_recom,not_recom
n2704,usual,critical,complete,3,convenient,convenient,slightly_prob,recommended,priority
