object,X2,X8,X3,X5,X1,X8.1,X13,X0,X6,X6.1,X10,X8.2,X0.1,X8.3,X0.2,X8.4,19
L3981,5,10,7,8,5,8,7,3,9,5,6,9,5,7,9,8,23
L3982,4,4,5,3,3,4,11,3,2,9,9,7,6,12,1,6,22
L3983,2,7,2,5,1,15,3,3,5,12,1,8,0,8,0,8,9
L3984,2,3,4,2,2,9,6,4,6,10,4,6,2,8,3,8,3
L3985,3,7,4,5,4,8,8,7,2,7,4,6,4,6,8,8,17
L3986,4,7,6,5,5,7,9,7,5,8,5,7,3,7,5,10,7
L3987,2,1,3,3,2,7,7,5,7,7,6,9,2,8,5,10,4
L3988,4,7,5,5,2,4,9,6,8,12,10,11,1,9,3,7,2
L3989,2,3,3,1,1,7,11,2,6,7,11,8,1,10,1,7,19
L3990,4,7,5,5,3,7,6,8,5,7,5,8,3,8,3,8,14
L3991,2,1,3,2,1,7,6,10,1,7,9,8,7,6,0,8,12
L3992,3,11,4,8,2,1,13,5,4,12,10,7,0,8,3,6,5
L3993,3,9,5,7,3,5,5,2,8,6,1,10,0,6,3,7,11
L3994,4,6,5,4,5,8,9,4,4,8,5,6,3,9,9,7,18
L3995,1,0,2,0,0,8,10,3,1,6,12,8,1,11,0,8,24
L3996,4,5,5,7,3,5,10,9,4,7,4,8,3,7,6,11,17
L3997,2,4,3,2,1,4,11,4,4,13,8,5,1,9,1,7,5
L3998,5,11,6,8,5,6,8,6,11,7,7,10,1,9,8,8,25
L3999,3,2,5,4,2,6,10,1,8,8,12,8,1,11,3,7,24
L4000,5,9,7,7,4,6,7,3,6,15,7,11,1,6,2,6,9
L4001,6,11,9,8,8,8,8,5,6,10,6,5,4,8,4,9,3
L4002,2,1,3,2,1,8,12,3,6,7,11,8,2,11,1,8,19
L4003,3,5,4,4,4,8,6,6,4,7,7,8,7,5,2,7,12
L4004,3,5,4,8,2,8,7,9,5,6,7,9,3,8,5,9,16
L4005,1,0,2,0,0,7,7,6,4,7,6,8,2,8,3,8,14
L4006,4,11,5,8,4,6,8,10,7,7,5,7,2,8,9,9,1
L4007,2,4,4,3,2,9,6,4,6,10,4,6,2,8,3,8,3
L4008,4,9,5,6,4,7,6,12,4,6,12,8,3,9,0,8,20
L4009,3,9,4,7,5,9,9,3,7,7,7,5,0,9,12,9,25
L4010,4,7,4,5,3,5,8,5,6,11,9,13,2,9,3,7,2
L4011,1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8,13
L4012,6,11,8,8,8,6,10,6,5,9,6,9,3,10,8,10,5
L4013,5,10,6,8,3,6,9,3,6,15,7,8,2,8,2,8,9
L4014,5,11,6,8,3,5,8,8,8,8,8,14,2,9,4,9,2
L4015,2,3,2,2,1,5,9,3,4,9,8,5,1,9,2,7,15
L4016,7,10,9,7,7,6,6,9,5,6,6,9,3,7,6,13,11
L4017,4,5,6,5,4,8,9,4,6,7,7,8,3,8,8,8,8
L4018,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8,12
L4019,4,6,5,4,3,7,8,3,7,10,4,7,2,6,4,8,18
L4020,6,7,6,5,6,7,10,4,2,8,6,6,8,12,4,5,22
L4021,5,6,4,8,3,8,6,5,5,10,6,7,3,9,9,9,25
L4022,1,3,2,2,1,6,8,6,7,7,8,12,1,9,4,10,2
L4023,5,7,7,8,6,8,9,4,5,7,6,7,3,8,9,8,9
L4024,2,4,3,3,2,7,9,2,5,13,6,6,2,11,2,7,5
L4025,4,7,6,5,3,9,7,4,8,11,3,8,2,8,5,11,18
L4026,3,5,4,7,6,8,8,3,1,7,7,9,4,11,6,7,24
L4027,3,4,4,2,1,5,13,3,6,12,9,3,1,10,1,5,19
L4028,4,9,4,4,1,6,10,2,7,12,7,5,1,10,3,5,19
L4029,4,2,5,4,3,7,9,5,5,7,6,6,7,8,3,7,13
L4030,5,6,6,8,9,9,8,6,3,7,7,8,6,10,7,4,24
L4031,3,3,4,2,1,4,8,4,7,10,9,12,1,9,2,7,2
L4032,6,9,5,5,4,8,4,5,2,9,6,9,4,8,7,8,6
L4033,8,15,7,8,5,8,10,3,5,12,5,4,4,9,7,7,5
L4034,3,7,4,5,3,9,4,3,1,8,1,8,2,6,1,8,0
L4035,3,4,4,5,3,8,7,5,3,8,8,9,3,8,4,9,16
L4036,4,7,6,5,7,7,7,4,4,6,7,8,10,9,5,8,20
L4037,3,4,4,3,2,6,7,5,5,9,7,9,2,9,4,9,6
L4038,3,4,4,6,2,8,7,8,6,6,7,8,3,8,5,9,16
L4039,5,9,6,5,3,3,9,3,6,9,8,11,4,7,3,6,10
L4040,1,3,2,2,1,6,7,7,6,8,7,13,1,9,3,10,2
L4041,4,5,5,8,3,8,8,9,7,6,7,9,3,8,4,8,14
L4042,5,11,6,9,4,6,8,9,7,10,7,11,2,11,4,9,2
L4043,4,6,6,4,3,9,8,4,1,7,8,8,8,9,0,8,22
L4044,4,10,5,7,5,7,8,5,9,7,6,9,1,9,7,7,25
L4045,3,1,4,3,2,6,8,6,7,7,9,9,3,9,1,8,20
L4046,3,7,4,5,4,6,9,8,3,7,5,8,2,7,5,11,17
L4047,3,2,4,4,2,6,8,8,8,9,8,12,2,10,4,10,2
L4048,2,1,3,2,1,6,8,7,8,8,8,13,1,9,4,10,2
L4049,6,11,6,8,3,4,13,9,2,10,6,4,1,10,4,8,15
L4050,4,6,7,4,6,7,8,3,4,8,7,7,6,9,5,4,13
L4051,3,3,4,2,2,4,11,3,2,9,9,7,6,11,1,7,22
L4052,6,8,7,6,5,4,8,5,7,9,8,10,5,8,3,4,20
L4053,6,9,9,7,10,7,7,4,4,6,6,9,8,8,8,8,10
L4054,4,8,5,6,4,7,7,5,5,7,6,7,4,8,3,7,3
L4055,1,0,1,0,0,4,6,6,1,7,6,10,3,7,1,10,10
L4056,5,6,8,4,5,7,6,2,5,9,7,8,8,6,2,8,12
L4057,3,11,4,9,2,6,8,0,7,13,7,8,0,8,1,7,8
L4058,4,8,6,6,5,8,8,4,1,6,9,8,7,11,0,8,22
L4059,3,5,3,3,2,8,7,5,10,6,6,7,2,8,7,8,25
L4060,3,7,3,5,4,6,7,8,5,7,6,7,2,8,7,10,1
L4061,9,14,7,8,5,8,7,5,4,9,5,6,4,9,8,8,6
L4062,5,5,7,8,3,7,7,4,15,9,6,8,0,8,9,8,25
L4063,4,11,5,8,2,1,11,5,7,12,12,10,0,8,2,6,5
L4064,2,5,3,4,2,7,12,3,6,7,11,8,2,11,1,8,19
L4065,4,3,5,4,3,6,6,5,6,6,6,8,2,8,4,8,6
L4066,3,7,4,5,2,9,6,1,6,13,4,8,0,7,0,8,9
L4067,8,12,8,6,4,11,0,4,3,12,6,14,4,5,5,11,0
L4068,3,10,4,8,5,8,8,8,5,7,5,8,2,8,8,8,18
L4069,5,6,7,4,3,7,8,3,5,10,6,7,5,8,1,7,13
L4070,2,9,3,6,3,11,5,2,6,11,2,7,0,7,1,7,9
L4071,6,11,9,8,8,3,8,1,6,9,9,11,3,8,3,6,10
L4072,4,6,6,6,5,7,6,5,4,6,6,8,4,8,1,7,20
L4073,4,7,6,5,7,6,6,3,2,8,6,7,3,7,11,2,18
L4074,4,7,6,10,10,7,5,4,3,8,8,9,9,10,8,8,24
L4075,2,1,2,1,2,7,7,5,6,7,6,8,2,8,5,10,4
L4076,5,11,5,8,5,8,7,8,4,9,6,6,4,9,4,8,14
L4077,3,9,5,7,3,7,11,2,3,6,11,9,2,10,1,8,21
L4078,7,10,9,7,6,4,8,5,1,7,9,8,8,10,0,8,22
L4079,3,7,5,5,3,10,2,2,2,9,2,8,2,6,4,8,0
L4080,2,6,4,4,2,7,7,0,8,13,6,8,0,8,1,7,8
L4081,2,2,2,3,2,7,8,5,9,6,6,9,1,9,7,8,25
L4082,4,7,4,5,3,8,6,6,3,10,5,10,3,8,2,8,14
L4083,4,9,6,7,4,6,10,5,6,10,8,3,1,10,4,7,15
L4084,2,1,4,2,2,7,7,3,9,6,6,8,2,8,5,8,23
L4085,5,10,8,7,10,12,4,3,1,9,4,9,10,6,3,8,12
L4086,1,1,2,1,1,6,9,7,3,7,5,8,2,7,4,11,17
L4087,4,7,7,5,9,8,7,3,3,8,4,7,10,5,2,6,12
L4088,2,5,3,3,3,8,7,5,9,6,6,7,2,8,7,8,25
L4089,5,5,5,7,3,7,7,15,2,4,6,8,6,8,0,8,13
L4090,5,10,6,8,4,8,7,13,2,6,9,8,8,6,0,8,12
L4091,3,6,4,4,2,5,3,5,8,2,2,4,1,6,1,5,11
L4092,1,0,2,0,1,7,6,9,0,7,8,8,5,6,0,8,12
L4093,4,8,6,6,4,8,6,9,5,4,4,5,4,6,3,8,13
L4094,9,10,8,7,6,5,10,3,3,9,8,7,10,11,4,5,22
L4095,4,9,5,6,1,7,10,3,2,7,13,8,1,11,0,8,24
L4096,3,6,5,4,3,4,9,3,3,10,10,9,5,8,0,8,13
L4097,3,8,4,6,2,9,5,4,5,15,6,12,1,6,1,7,9
L4098,4,11,6,8,3,4,4,1,10,6,1,11,0,7,3,6,11
L4099,7,11,8,8,4,2,10,5,8,11,11,11,1,8,2,6,2
L4100,4,9,6,7,4,7,5,3,0,6,1,8,2,7,1,7,0
L4101,2,3,2,1,1,5,11,3,5,11,9,5,1,9,3,6,5
L4102,2,7,4,5,1,7,14,0,5,7,10,8,0,8,0,8,19
L4103,2,3,4,2,2,8,9,3,4,10,4,5,5,9,1,7,13
L4104,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,8
L4105,3,2,4,4,3,8,8,6,6,7,6,8,3,8,3,9,7
L4106,3,7,5,6,4,6,8,2,4,7,7,9,5,9,3,7,0
L4107,2,3,3,5,2,6,9,9,4,7,5,7,2,8,5,10,17
L4108,5,8,7,6,7,6,7,6,6,7,6,10,3,8,3,9,7
L4109,4,8,6,6,4,6,8,4,9,11,9,9,2,9,5,5,4
L4110,3,5,4,3,2,4,10,1,7,10,10,5,2,11,3,4,24
L4111,2,6,3,4,1,0,1,5,6,0,0,6,0,8,0,8,11
L4112,4,7,5,5,2,9,5,3,7,15,4,9,0,7,0,8,9
L4113,1,1,2,1,0,7,4,2,0,7,2,8,2,6,1,8,0
L4114,4,5,5,4,3,4,8,5,7,10,9,9,3,9,2,6,20
L4115,2,7,4,4,1,9,10,2,3,6,12,8,1,11,0,8,24
L4116,7,12,5,6,2,9,6,5,5,13,3,8,3,7,5,10,8
L4117,6,9,8,8,7,7,5,4,5,9,3,7,4,8,6,9,14
L4118,4,5,5,3,2,6,11,2,8,11,9,4,1,11,3,4,19
L4119,4,8,6,6,4,4,7,6,7,6,6,13,4,7,6,10,10
L4120,3,6,5,5,3,8,7,7,5,6,6,8,2,8,4,9,16
L4121,2,1,2,1,1,5,11,7,1,9,6,4,1,9,3,8,15
L4122,5,8,8,6,4,6,12,7,2,11,5,2,1,10,4,9,15
L4123,4,4,4,6,2,8,5,14,5,6,13,8,3,9,0,8,20
L4124,5,9,5,6,3,2,11,2,3,10,11,8,2,11,1,8,21
L4125,2,3,2,1,1,8,7,6,4,9,6,8,2,8,3,8,14
L4126,3,2,4,3,2,4,4,5,7,2,2,5,1,6,1,6,11
L4127,6,6,6,4,4,7,11,5,2,8,6,6,7,12,2,6,22
L4128,6,15,4,8,3,11,5,5,4,13,3,8,3,8,5,9,8
L4129,4,4,5,6,2,7,7,15,2,4,6,8,6,8,0,8,13
L4130,6,9,5,4,2,6,11,6,3,11,9,4,4,12,3,9,21
L4131,4,8,6,6,4,5,7,4,8,7,6,10,4,8,5,9,10
L4132,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,8
L4133,0,9,0,6,0,7,7,4,4,7,6,8,0,8,0,8,8
L4134,2,6,3,4,1,7,8,14,1,7,5,8,3,8,0,8,7
L4135,7,9,6,4,5,9,7,3,5,9,4,7,7,5,7,8,1
L4136,8,12,7,6,5,8,6,3,7,10,5,7,6,7,8,6,3
L4137,6,14,6,8,5,11,3,4,2,11,3,11,5,3,4,11,0
L4138,7,10,9,8,11,7,7,3,5,6,6,9,7,9,7,6,17
L4139,3,2,3,3,2,5,11,5,4,10,7,2,1,10,4,6,15
L4140,5,11,7,8,5,9,3,1,8,9,2,10,3,6,5,10,11
L4141,1,0,1,1,0,2,2,5,5,1,1,6,0,8,0,8,11
L4142,2,4,4,3,2,6,7,2,7,11,7,9,2,8,4,8,4
L4143,3,4,4,3,3,8,6,6,4,6,7,8,7,5,2,7,12
L4144,2,6,4,4,1,10,6,2,7,15,4,7,0,7,0,8,9
L4145,4,9,5,7,3,9,6,0,7,13,5,9,0,8,1,8,8
L4146,7,9,10,6,6,6,7,3,7,10,8,9,3,8,3,7,7
L4147,3,8,5,6,1,8,8,4,3,6,14,8,3,10,0,8,21
L4148,3,5,4,3,2,8,7,7,8,6,6,3,2,8,3,7,3
L4149,10,15,9,8,5,7,6,5,6,9,4,5,5,8,6,9,3
L4150,5,6,7,4,5,6,7,1,6,10,6,10,4,8,4,8,10
L4151,5,8,8,6,5,8,8,7,8,10,5,4,3,8,5,8,3
L4152,4,10,5,8,7,8,8,3,5,5,7,9,5,11,9,10,11
L4153,9,15,8,8,4,7,8,4,4,10,7,5,4,9,5,3,24
L4154,2,1,2,2,1,6,7,9,6,6,6,6,2,8,3,8,3
L4155,6,11,9,8,10,7,5,5,3,8,8,9,9,9,6,8,21
L4156,3,4,6,3,3,6,9,1,8,10,9,8,2,8,3,6,23
L4157,2,3,4,2,1,5,9,3,3,10,8,8,5,8,0,7,13
L4158,1,5,3,4,1,9,6,3,6,14,5,10,0,7,0,7,9
L4159,4,5,6,7,7,6,8,5,3,7,7,6,7,12,6,9,15
L4160,5,9,7,7,7,10,11,2,2,6,8,7,9,13,2,8,22
L4161,4,9,7,7,3,5,12,3,4,8,12,9,2,10,1,8,21
L4162,4,7,6,5,6,7,8,5,4,8,6,9,4,11,9,11,5
L4163,8,10,7,5,3,8,7,3,7,9,7,7,6,10,4,8,10
L4164,3,7,4,5,3,7,7,6,8,7,6,9,3,8,6,8,4
L4165,3,11,5,8,1,6,14,0,6,8,11,8,0,8,0,8,19
L4166,5,9,5,6,4,7,7,8,5,10,6,8,3,8,3,8,14
L4167,7,9,10,7,6,2,8,3,8,11,12,12,5,6,5,3,10
L4168,5,8,7,6,6,8,8,5,5,9,5,8,3,8,5,11,17
L4169,4,8,6,6,5,6,7,6,6,7,9,9,3,10,5,8,19
L4170,2,8,2,6,2,7,7,0,8,7,6,8,0,8,3,8,8
L4171,1,3,2,2,1,9,6,3,4,10,4,6,2,8,2,8,3
L4172,4,4,5,6,2,3,7,8,2,7,6,11,3,8,2,11,10
L4173,1,6,2,4,1,11,3,9,3,13,7,13,1,6,0,8,9
L4174,4,4,5,2,2,4,8,5,7,10,9,9,3,9,2,6,20
L4175,2,4,4,2,2,7,8,3,5,10,6,7,3,8,2,8,7
L4176,7,11,9,8,6,8,9,2,6,14,6,5,3,10,4,9,15
L4177,3,4,6,3,3,6,7,2,7,10,7,10,3,8,3,7,10
L4178,3,7,3,5,2,1,12,4,4,11,10,8,0,8,2,6,5
L4179,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,8
L4180,4,8,5,6,2,4,8,9,1,7,6,11,3,8,3,11,10
L4181,1,0,1,1,0,8,6,7,5,6,6,9,2,7,3,9,16
L4182,3,4,4,5,3,8,8,6,2,8,7,9,2,9,3,9,16
L4183,4,11,5,8,3,9,2,2,7,9,2,10,1,5,3,9,11
L4184,0,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8,8
L4185,7,13,6,7,4,8,8,3,7,11,5,6,2,8,6,7,19
L4186,4,8,6,6,3,13,3,4,3,11,1,8,2,6,2,9,0
L4187,5,10,6,7,4,6,7,7,7,10,7,11,2,9,5,9,6
L4188,6,9,8,7,5,7,6,8,4,7,5,8,3,8,3,8,14
L4189,2,2,3,3,2,5,10,4,4,9,8,4,1,10,3,7,15
L4190,4,10,6,8,4,8,8,6,5,6,6,6,6,9,2,5,13
L4191,3,1,4,2,1,7,11,2,7,7,11,8,1,10,1,8,19
L4192,5,9,6,7,4,8,11,3,2,5,10,9,5,11,5,8,21
L4193,5,6,7,4,4,10,7,4,6,10,2,7,3,8,3,9,7
L4194,1,0,1,0,0,7,6,6,5,6,5,9,1,7,4,10,6
L4195,4,9,4,7,4,5,10,9,3,9,6,5,1,10,3,8,15
L4196,3,6,5,4,3,9,7,5,7,10,5,4,3,8,3,8,3
L4197,5,6,7,5,6,7,7,2,4,7,3,9,6,4,8,10,10
L4198,1,0,1,0,0,7,7,2,9,8,6,8,0,8,5,8,25
L4199,4,6,5,4,3,7,8,1,8,10,7,8,3,8,3,7,23
L4200,7,9,9,8,9,10,6,3,5,10,2,8,8,6,7,12,10
L4201,4,7,5,5,5,8,7,6,2,7,6,11,4,8,7,9,6
L4202,4,9,5,7,3,9,6,2,6,14,4,8,0,7,0,8,9
L4203,9,15,8,8,5,9,4,5,9,11,3,11,3,6,8,11,16
L4204,5,5,8,4,4,10,5,3,5,9,3,7,10,7,3,9,12
L4205,1,2,2,3,2,8,7,6,2,5,6,10,2,9,4,9,16
L4206,6,9,6,7,3,3,8,5,7,12,10,12,2,9,2,7,2
L4207,7,11,6,6,3,5,9,4,3,11,10,6,4,10,3,3,24
L4208,3,10,4,7,2,0,13,4,4,12,11,7,0,8,2,6,5
L4209,4,10,4,7,2,7,5,15,5,7,13,8,3,9,0,8,20
L4210,6,9,5,4,2,5,11,3,6,13,7,5,2,8,3,4,19
L4211,6,7,8,8,7,9,8,5,5,7,5,9,3,8,9,7,8
L4212,4,8,4,6,3,2,12,5,6,11,10,8,0,8,2,7,5
L4213,2,3,2,2,1,4,4,4,7,2,2,6,0,7,1,6,11
L4214,3,7,5,6,4,8,5,5,4,6,7,8,3,8,8,11,11
L4215,4,6,6,6,6,8,9,6,3,6,6,9,7,11,6,9,6
L4216,2,4,3,3,3,7,7,5,5,7,6,8,3,8,2,8,7
L4217,8,13,8,7,4,9,7,3,7,9,3,6,5,8,4,8,10
L4218,2,5,3,3,2,6,8,7,8,8,7,13,1,9,4,10,2
L4219,2,7,4,5,1,9,8,4,2,6,13,8,3,10,0,8,21
L4220,2,2,2,3,2,8,9,5,2,8,8,10,2,9,4,9,16
L4221,1,0,2,0,0,8,10,3,1,6,12,8,1,11,0,8,24
L4222,2,1,3,2,2,7,8,7,5,7,7,8,2,8,3,8,14
L4223,8,14,6,8,4,7,8,4,4,9,8,5,4,10,4,4,24
L4224,5,11,7,8,7,8,7,3,5,6,7,6,4,10,11,9,23
L4225,1,0,2,0,0,8,4,2,0,7,2,8,1,6,1,8,0
L4226,6,9,9,7,4,9,9,3,7,14,4,3,2,9,4,9,15
L4227,2,2,3,4,1,3,4,3,8,2,1,7,0,7,1,6,11
L4228,9,12,7,7,3,7,9,6,4,8,9,5,6,13,4,9,21
L4229,2,5,3,4,2,5,11,3,5,11,9,5,1,10,3,6,5
L4230,3,8,5,6,5,7,7,3,6,7,7,10,4,10,8,8,4
L4231,5,12,6,6,4,9,5,3,8,12,4,9,3,9,5,11,25
L4232,3,3,4,1,1,4,9,5,6,11,10,9,3,10,2,7,20
L4233,2,5,3,4,1,11,6,2,6,11,3,8,1,6,1,7,9
L4234,2,4,4,3,2,6,10,2,6,13,7,5,1,10,1,7,5
L4235,4,6,6,4,5,10,7,1,5,9,5,6,4,10,4,7,5
L4236,1,3,2,2,1,7,7,5,8,6,6,8,2,8,7,8,25
L4237,3,4,4,3,3,6,10,4,2,8,7,7,6,11,1,6,22
L4238,1,0,1,1,0,12,3,5,3,12,5,11,0,7,0,8,9
L4239,4,9,5,6,3,5,10,10,5,9,6,5,2,10,4,8,15
L4240,0,0,1,0,0,2,2,5,4,1,2,6,0,8,0,8,11
L4241,5,11,6,8,2,5,7,7,10,7,6,14,1,8,4,9,2
L4242,5,8,7,6,6,8,9,7,5,6,6,8,3,7,7,4,0
L4243,6,9,8,8,8,8,7,2,5,7,6,7,4,9,8,8,23
L4244,6,9,7,11,8,9,10,6,4,3,9,12,4,9,9,14,16
L4245,3,2,6,4,2,10,2,2,2,9,1,8,2,6,2,8,0
L4246,4,4,5,2,3,7,11,3,2,6,9,8,7,11,0,8,22
L4247,4,9,5,6,2,3,8,8,2,7,5,11,4,8,3,10,10
L4248,5,9,7,7,8,10,6,2,4,9,5,6,6,9,5,7,5
L4249,4,8,4,6,3,3,9,6,12,7,5,14,0,8,7,7,4
L4250,7,10,10,8,9,7,8,3,6,10,6,7,3,8,3,8,7
L4251,8,11,7,6,4,7,6,6,5,9,5,6,4,7,5,7,6
L4252,5,6,6,8,8,9,7,6,3,7,8,8,7,10,6,5,24
L4253,2,3,3,4,1,7,14,0,6,7,11,8,0,8,0,8,19
L4254,2,8,3,6,1,12,2,9,4,14,6,13,1,6,0,8,9
L4255,8,11,8,8,4,4,12,2,8,13,10,5,0,10,2,4,19
L4256,4,10,5,8,3,5,11,3,3,9,12,9,2,10,1,8,21
L4257,5,6,7,5,6,6,6,3,5,7,8,10,8,11,3,8,0
L4258,5,9,4,4,2,9,9,5,4,5,10,6,4,11,3,5,21
L4259,3,7,5,5,5,9,6,6,4,6,7,6,7,5,2,6,12
L4260,5,10,6,8,5,6,8,8,5,5,6,12,5,9,7,3,20
L4261,5,10,7,8,6,6,7,8,7,7,7,5,4,7,4,9,3
L4262,6,9,6,10,6,8,6,7,4,9,6,10,4,10,7,6,16
L4263,4,6,6,4,3,7,7,1,8,10,7,9,3,8,3,7,23
L4264,3,9,4,7,4,8,9,13,2,7,4,8,3,8,0,8,7
L4265,1,0,2,0,0,8,9,3,1,6,12,8,2,11,0,8,21
L4266,4,6,4,4,3,6,7,5,6,9,8,10,2,9,4,9,6
L4267,3,4,3,6,1,0,11,4,7,12,12,9,0,8,2,6,5
L4268,6,7,9,10,8,7,11,5,1,8,7,5,4,12,10,4,7
L4269,6,10,6,6,4,7,6,5,5,7,8,9,5,8,3,8,20
L4270,4,4,5,2,3,4,11,3,2,10,9,8,6,11,1,6,22
L4271,4,10,4,7,2,7,7,15,1,7,7,8,3,8,0,8,7
L4272,6,10,8,8,7,6,7,3,5,9,9,9,8,6,2,7,12
L4273,10,14,9,8,5,6,6,5,5,6,8,9,7,7,4,9,20
L4274,3,3,3,5,2,3,9,6,11,7,5,14,0,8,7,8,4
L4275,6,6,5,9,4,7,8,5,3,11,7,7,2,9,9,7,25
L4276,2,5,4,4,3,7,7,4,3,6,7,8,3,8,1,7,20
L4277,3,6,4,4,1,7,5,13,5,7,14,8,3,9,0,8,20
L4278,3,6,5,4,2,10,11,2,7,3,11,8,1,11,1,9,24
L4279,1,0,1,0,0,7,14,1,4,7,10,8,0,8,0,8,19
L4280,6,11,6,8,4,6,7,11,11,6,5,6,3,8,4,8,3
L4281,1,4,0,5,0,7,7,4,4,7,6,8,0,8,0,8,8
L4282,2,0,3,1,1,7,6,10,0,7,9,8,7,6,0,8,12
L4283,1,8,0,6,0,7,7,4,4,7,6,8,0,8,0,8,8
L4284,3,10,4,8,2,7,7,0,8,13,6,8,0,8,1,7,8
L4285,2,3,3,2,1,6,8,1,7,11,6,9,2,8,3,8,4
L4286,8,13,8,7,5,12,4,3,6,10,3,7,3,9,6,13,16
L4287,2,0,2,0,1,7,8,4,0,7,8,8,6,9,0,8,22
L4288,7,9,10,7,8,6,8,2,6,10,7,8,5,9,4,8,7
L4289,2,5,3,3,1,7,8,1,8,14,6,7,0,8,1,7,8
L4290,4,6,5,9,6,8,13,4,3,4,8,12,4,14,7,13,16
L4291,3,6,5,4,3,7,7,8,7,7,6,5,3,8,3,7,3
L4292,6,10,8,8,7,7,4,8,4,6,7,10,5,7,7,9,16
L4293,3,8,4,6,2,6,8,8,7,10,8,13,2,10,4,10,2
L4294,5,7,5,5,2,3,11,4,3,10,12,7,2,10,1,8,21
L4295,3,6,4,4,3,5,8,8,7,8,7,6,2,8,3,8,3
L4296,4,10,6,7,6,10,8,3,4,8,3,6,4,8,7,7,9
L4297,3,6,4,4,3,7,7,12,1,7,6,8,5,9,0,8,13
L4298,3,3,4,2,1,4,12,3,2,10,11,7,2,11,1,8,21
L4299,5,7,5,5,3,3,9,5,6,11,11,9,3,9,1,6,20
L4300,2,6,3,4,2,8,7,7,7,7,7,9,2,10,9,8,18
L4301,3,7,5,5,3,11,2,3,2,10,2,9,3,7,3,9,0
L4302,7,7,9,6,10,7,7,5,5,7,6,8,9,9,9,8,22
L4303,4,11,6,8,4,5,11,4,6,11,10,5,2,10,3,5,5
L4304,2,1,2,1,1,7,7,11,1,5,6,8,4,8,0,8,13
L4305,2,4,3,3,2,7,8,5,4,7,6,6,4,8,1,6,13
L4306,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8,8
L4307,4,6,5,4,4,6,7,6,4,7,6,8,2,9,7,10,15
L4308,2,7,3,4,1,7,14,0,6,7,11,8,0,8,0,8,19
L4309,6,9,9,8,8,6,7,5,7,7,4,7,4,6,6,5,3
L4310,5,8,7,6,7,8,6,7,3,8,6,8,6,6,6,11,17
L4311,5,9,5,7,3,3,8,6,11,7,6,15,0,8,7,7,4
L4312,7,10,9,8,6,7,8,2,9,12,7,7,1,8,6,8,25
L4313,1,0,1,0,0,3,11,4,3,11,9,7,0,8,2,8,5
L4314,4,7,5,5,3,7,10,6,4,11,5,4,1,10,3,8,15
L4315,7,15,6,8,3,6,9,3,8,13,6,6,2,8,5,4,19
L4316,3,10,4,8,4,3,12,7,2,11,8,4,0,10,3,8,15
L4317,3,7,4,5,1,3,7,7,2,7,7,11,3,8,3,10,10
L4318,3,6,4,4,2,5,9,4,8,12,9,8,2,9,5,5,4
L4319,10,11,10,8,8,2,11,2,3,10,11,9,7,10,2,6,22
L4320,4,9,4,7,2,7,7,4,14,9,6,8,0,8,8,8,25
L4321,4,5,5,8,4,6,9,9,7,8,5,6,2,8,9,10,1
L4322,3,7,4,5,4,7,9,6,5,8,5,9,3,6,5,10,17
L4323,9,8,7,12,5,8,5,5,5,5,12,6,5,10,4,7,24
L4324,5,10,6,8,5,7,8,3,12,9,6,8,0,8,8,7,25
L4325,2,5,4,4,2,7,8,2,10,11,6,7,1,8,6,7,25
L4326,2,10,2,8,3,7,7,0,7,7,6,8,0,8,3,8,8
L4327,4,8,5,6,5,8,8,3,7,7,6,7,1,9,10,8,25
L4328,2,3,3,2,1,5,4,5,8,3,2,6,1,7,1,6,11
L4329,3,5,3,4,3,7,8,5,8,7,5,9,2,8,6,9,4
L4330,3,9,4,7,2,3,7,7,3,7,7,11,3,8,3,10,10
L4331,3,7,4,5,3,6,6,5,4,6,6,9,2,9,4,8,6
L4332,4,9,6,6,3,9,9,2,6,14,5,4,1,10,3,10,15
L4333,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8,8
L4334,7,10,7,5,4,8,9,4,3,12,5,4,4,11,5,6,15
L4335,6,11,8,8,5,6,7,2,7,10,7,10,3,8,3,8,10
L4336,4,8,6,6,1,6,8,5,3,8,14,8,3,9,0,8,21
L4337,3,4,3,3,1,5,13,3,5,11,9,3,1,11,1,5,19
L4338,2,2,3,4,3,8,8,6,2,5,7,9,3,9,5,9,16
L4339,5,8,7,6,5,10,6,3,5,10,3,7,3,7,4,10,17
L4340,6,7,8,10,9,7,9,4,2,7,8,7,6,11,6,5,15
L4341,7,12,7,6,3,8,10,5,4,4,6,9,6,10,3,6,13
L4342,4,9,5,6,5,7,8,7,4,7,5,6,4,7,6,6,1
L4343,3,5,5,4,2,7,8,3,5,10,6,7,5,8,1,7,13
L4344,5,11,6,8,7,6,8,9,5,6,5,8,2,8,8,9,17
L4345,5,5,6,8,2,6,7,7,10,7,6,15,1,8,4,9,2
L4346,4,7,4,5,3,7,7,12,1,7,9,8,8,6,0,8,12
