shuttle,A1,A2,A3,A4,A5,A6,A7,A8,A9,class
SH16312,41,0,85,-2,38,0,44,46,2,1
SH16313,37,0,76,-2,20,-27,39,55,16,1
SH16314,42,0,81,0,38,-30,39,42,2,1
SH16315,47,0,88,-7,46,0,41,41,0,1
SH16316,37,0,93,0,16,3,55,77,22,1
SH16317,43,3,85,-1,42,-2,42,44,2,1
SH16318,37,0,79,0,8,24,43,72,28,1
SH16319,37,0,77,-5,12,0,41,65,24,1
SH16320,56,1,86,0,54,-6,31,32,2,1
SH16321,45,-2,108,0,44,0,63,64,0,1
SH16322,53,0,88,0,54,11,35,33,0,1
SH16323,42,0,77,7,42,0,35,36,0,1
SH16324,43,-2,79,0,44,27,36,35,0,1
SH16325,56,0,77,7,-4,0,21,82,62,4
SH16326,44,-4,84,0,44,5,41,41,0,1
SH16327,37,0,81,-5,-4,0,45,86,42,1
SH16328,37,0,79,0,34,5,43,46,2,1
SH16329,37,0,93,0,10,-6,56,83,26,1
SH16330,56,0,81,0,-10,-18,25,91,66,4
SH16331,55,0,77,-6,16,7,22,62,40,4
SH16332,50,-1,80,2,50,0,30,31,0,1
SH16333,37,0,76,0,34,-30,40,43,2,1
SH16334,37,0,82,0,28,10,45,54,8,1
SH16335,37,0,104,-4,20,0,67,83,16,1
SH16336,43,0,77,-1,44,17,34,33,0,1
SH16337,51,0,102,0,52,0,51,50,0,1
SH16338,37,0,82,0,36,5,45,46,2,1
SH16339,51,0,81,0,52,23,30,30,0,1
SH16340,46,5,81,0,46,0,35,35,0,1
SH16341,45,0,79,-6,44,0,33,35,2,1
SH16342,40,4,102,0,38,0,62,63,2,1
SH16343,37,0,79,0,10,-2,43,69,26,1
SH16344,43,0,77,-1,44,15,34,33,0,1
SH16345,37,-977,75,-2,28,21,38,46,8,7
SH16346,41,0,77,0,38,-5,36,38,2,1
SH16347,55,0,88,-7,54,0,34,34,0,1
SH16348,42,-2,81,3,42,0,39,39,0,1
SH16349,37,0,80,0,18,10,43,62,18,1
SH16350,51,-4,82,6,52,2,31,30,0,1
SH16351,37,0,76,0,38,13,39,37,0,1
SH16352,45,-5,83,0,44,0,39,39,0,1
SH16353,45,0,78,0,46,26,33,32,0,1
SH16354,41,-1,77,0,42,7,37,36,0,1
SH16355,54,0,83,3,54,0,29,29,0,1
SH16356,39,-5,80,-1,38,0,41,41,0,1
SH16357,44,0,80,-5,44,3,36,36,0,1
SH16358,51,0,78,0,52,18,27,26,0,1
SH16359,85,0,88,-2,6,26,3,83,80,5
SH16360,46,0,86,-48,46,0,40,40,0,1
SH16361,56,0,97,2,50,-21,41,48,6,4
SH16362,86,5,89,0,6,-23,3,84,80,5
SH16363,43,0,86,5,42,-3,43,45,2,1
SH16364,55,0,76,5,-22,0,21,99,78,4
SH16365,37,0,76,0,24,4,40,53,14,1
SH16366,46,0,88,1,46,10,42,41,0,1
SH16367,46,0,86,-7,46,0,40,40,0,1
SH16368,37,0,93,-6,12,0,56,81,24,1
SH16369,46,0,77,-1,46,0,31,30,0,1
SH16370,51,2,82,2,52,14,31,30,0,1
SH16371,50,3,91,0,50,0,41,42,0,1
SH16372,56,1,99,0,46,-4,42,52,10,4
SH16373,43,0,85,0,42,-10,42,44,2,1
SH16374,51,0,79,0,52,1,27,27,0,1
SH16375,56,3,76,0,-18,-5,20,94,74,4
SH16376,56,0,95,0,46,1,40,49,10,4
SH16377,79,0,83,0,-46,-7,4,130,126,5
SH16378,107,4,108,8,72,1,1,36,34,5
SH16379,41,-1,79,0,42,5,38,38,0,1
SH16380,37,0,106,-3,28,0,68,77,8,1
SH16381,37,0,104,0,16,-30,66,88,22,1
SH16382,79,0,83,0,-38,10,4,122,118,5
SH16383,46,0,76,1,46,0,30,30,0,1
SH16384,49,2,78,0,50,2,29,29,0,1
SH16385,48,-2,86,0,46,-10,38,40,2,1
SH16386,102,0,103,0,70,-8,1,33,32,5
SH16387,50,0,111,5,50,0,60,62,2,1
SH16388,55,0,97,6,46,0,41,50,8,4
SH16389,45,-4,83,0,44,-13,37,39,2,1
SH16390,37,0,81,0,24,-30,44,57,14,1
SH16391,46,-1,88,0,46,0,42,42,0,1
SH16392,53,0,84,0,54,4,30,30,0,1
SH16393,41,4,78,0,38,0,37,39,2,1
SH16394,50,2,78,-4,50,0,28,29,0,1
SH16395,51,0,86,0,52,4,35,34,0,1
SH16396,41,4,84,0,42,12,43,43,0,1
SH16397,56,1,99,0,46,-8,42,52,10,4
SH16398,39,-4,90,0,6,0,52,85,34,1
SH16399,37,0,79,0,28,14,42,50,8,1
SH16400,51,-1,80,0,50,-19,29,31,2,1
SH16401,43,0,107,0,42,-12,64,66,2,1
SH16402,37,1,83,0,34,0,47,50,2,1
SH16403,43,-1,83,0,44,13,40,39,0,1
SH16404,45,-1,77,0,44,-2,32,34,2,1
SH16405,37,1,76,0,36,-4,39,40,2,1
SH16406,37,-3,76,0,38,5,39,37,0,1
SH16407,45,-2,83,0,44,22,38,39,0,1
SH16408,41,0,106,0,42,8,64,64,0,1
SH16409,55,0,77,0,-24,17,21,103,82,4
SH16410,37,0,75,0,26,2,38,49,12,1
SH16411,37,0,76,0,24,1,39,52,14,1
SH16412,56,0,93,8,52,0,37,41,4,4
SH16413,37,0,97,2,34,0,59,63,4,1
SH16414,42,5,76,0,42,0,34,35,2,1
SH16415,81,0,85,0,-24,-6,4,111,108,5
SH16416,51,-33,77,0,-2,0,26,79,54,3
SH16417,43,-4,81,-1,42,-15,37,39,2,1
SH16418,55,0,96,0,50,10,41,47,6,4
SH16419,43,0,99,0,42,0,56,58,2,1
SH16420,53,0,88,0,52,-17,35,36,2,1
SH16421,84,3,87,3,-4,0,3,92,88,5
SH16422,81,0,84,0,-18,-26,3,103,100,5
SH16423,49,0,87,6,50,3,38,38,0,1
SH16424,37,0,83,0,-2,17,47,86,40,1
SH16425,49,0,95,0,46,-16,47,49,2,1
SH16426,50,0,83,0,50,0,34,34,0,1
SH16427,108,-1,109,0,72,8,1,36,36,5
SH16428,55,0,95,-1,50,0,40,46,6,4
SH16429,45,0,87,3,44,0,43,43,0,1
SH16430,38,1,76,-1,38,-2,37,37,0,1
SH16431,51,-1,82,6,52,4,31,30,0,1
SH16432,49,1,86,0,50,20,37,37,0,1
SH16433,52,0,82,7,52,0,30,30,0,1
SH16434,44,0,88,2,42,-19,44,46,2,1
SH16435,37,0,90,501,6,0,53,85,32,1
SH16436,44,0,81,7,44,6,38,37,0,1
SH16437,39,0,108,0,38,0,68,69,0,1
SH16438,55,0,96,0,42,-21,41,55,14,4
SH16439,37,5,78,0,20,0,41,57,16,1
SH16440,55,0,77,0,20,13,22,57,34,4
SH16441,55,-1,98,0,52,19,42,46,4,4
SH16442,79,0,83,0,-42,0,4,126,122,5
SH16443,44,4,86,0,44,0,42,42,0,1
SH16444,42,-3,81,-1,42,0,40,40,0,1
SH16445,49,1,82,0,50,20,33,33,0,1
SH16446,52,-2,88,2,52,-4,35,36,0,1
SH16447,78,0,82,-6,-46,0,4,128,124,5
SH16448,37,0,91,-1,16,0,53,75,22,1
SH16449,50,-5,90,0,50,0,39,41,2,1
SH16450,45,3,86,-2,44,0,42,42,0,1
SH16451,49,4,84,0,46,-10,35,37,2,1
SH16452,79,0,83,-6,-32,-17,4,117,112,5
SH16453,37,0,100,0,34,15,64,67,4,1
SH16454,37,0,83,0,28,-30,46,54,8,1
SH16455,46,5,81,0,46,8,35,35,0,1
SH16456,56,0,97,0,46,-22,41,50,10,4
SH16457,47,-1,88,-2,46,-5,40,41,0,1
SH16458,68,0,111,-7,68,0,44,44,0,1
SH16459,53,1,84,0,52,-9,32,33,2,1
SH16460,37,-1,102,0,36,9,65,66,2,1
SH16461,45,-2,77,0,44,-19,32,34,2,1
SH16462,53,0,88,0,54,17,35,34,0,1
SH16463,37,0,77,-1,-12,0,40,90,50,1
SH16464,53,5,83,3,54,2,30,29,0,1
SH16465,64,0,110,0,62,-24,46,48,2,1
SH16466,51,0,88,0,52,12,36,36,0,1
SH16467,44,4,83,0,44,0,39,39,0,1
SH16468,37,0,76,-1,20,-4,40,55,16,1
SH16469,43,0,81,0,42,-14,37,39,2,1
SH16470,37,0,75,0,34,-6,37,41,4,1
SH16471,79,0,83,0,-40,2,4,124,120,5
SH16472,51,0,88,-3,50,-13,37,39,2,1
SH16473,37,0,81,-2,36,-8,43,44,2,1
SH16474,50,-1,86,-1,50,0,36,37,0,1
SH16475,37,0,76,-6,36,0,39,40,0,1
SH16476,44,0,83,-7,44,2,39,39,0,1
SH16477,85,0,89,4,2,0,4,86,82,5
SH16478,37,0,90,0,26,31,52,64,12,1
SH16479,37,0,79,0,2,17,42,76,34,1
SH16480,46,0,92,2,46,0,45,45,0,1
SH16481,37,-4,80,0,34,0,43,46,4,1
SH16482,45,0,84,0,46,27,39,38,0,1
SH16483,40,-2,76,0,38,0,35,37,2,1
SH16484,55,-2,77,0,34,-7,22,44,22,4
SH16485,56,0,91,0,2,18,35,88,54,4
SH16486,46,0,82,1,46,7,36,35,0,1
SH16487,41,0,86,0,38,-29,45,48,2,1
SH16488,45,0,87,0,44,-6,42,43,2,1
SH16489,55,0,77,0,42,0,22,36,14,4
SH16490,53,0,88,0,52,-13,35,36,2,1
SH16491,56,0,92,0,54,-18,36,38,2,1
SH16492,45,-3,81,0,44,0,37,37,0,1
SH16493,51,-4,81,0,52,0,29,29,0,1
SH16494,41,0,77,0,42,28,37,36,0,1
SH16495,37,3,79,0,26,0,42,53,12,1
SH16496,53,0,88,6,54,0,34,33,0,1
SH16497,82,0,86,0,-10,0,4,96,92,5
SH16498,56,0,87,1,56,12,31,30,0,1
SH16499,37,0,83,0,10,-14,46,72,26,1
SH16500,85,2,88,0,0,0,3,88,84,5
SH16501,55,0,96,0,54,2,41,42,0,1
SH16502,44,-1,82,3,44,0,38,38,0,1
SH16503,37,-3,77,0,36,-25,39,41,2,1
SH16504,37,0,90,0,34,1,53,57,4,1
SH16505,41,1,86,-7,38,0,45,47,2,1
SH16506,104,0,104,-3,70,0,1,35,34,5
SH16507,37,0,79,0,8,2,42,71,30,1
SH16508,47,0,88,-2,46,-4,40,41,0,1
SH16509,54,5,86,0,54,0,32,32,0,1
SH16510,41,-3,81,0,42,0,40,40,0,1
SH16511,37,0,77,-2,34,-4,40,43,2,1
SH16512,41,0,79,0,38,-16,38,40,2,1
SH16513,41,0,77,-1,38,-8,37,39,2,1
SH16514,55,0,82,0,-42,-24,26,126,100,4
SH16515,51,1,86,0,52,2,35,34,0,1
SH16516,55,0,97,0,50,-5,41,48,6,4
SH16517,41,0,76,0,42,11,35,34,0,1
SH16518,56,0,77,1,-4,-10,21,82,62,4
SH16519,44,4,79,0,44,19,35,35,0,1
SH16520,82,-4,86,-1,-40,0,5,128,124,5
SH16521,43,0,79,-1,42,-32,36,38,2,1
SH16522,37,0,83,4,6,0,46,78,32,1
SH16523,44,0,82,0,44,11,38,38,0,1
SH16524,39,-5,79,0,38,0,41,41,0,1
SH16525,51,1,85,0,52,8,34,33,0,1
SH16526,37,0,76,-7,36,4,40,40,0,1
SH16527,37,0,77,-7,30,-1,40,46,6,1
SH16528,41,-5,77,0,38,-18,36,38,2,1
SH16529,55,0,77,8,10,0,22,67,46,4
SH16530,50,-1,85,0,50,0,35,36,2,1
SH16531,45,0,76,0,46,18,30,29,0,1
SH16532,37,0,94,-2,12,0,57,81,24,1
SH16533,37,-13,80,0,34,0,43,46,2,1
SH16534,46,4,87,1,46,0,41,41,0,1
SH16535,37,0,79,0,10,-26,42,68,26,1
SH16536,55,0,92,1,-4,0,37,97,60,4
SH16537,55,0,77,0,24,12,22,54,32,4
SH16538,37,0,79,0,18,-16,43,61,18,1
SH16539,52,0,84,0,52,-3,31,32,0,1
SH16540,37,0,76,3,26,0,39,50,10,1
SH16541,37,5,74,0,34,3,37,41,4,1
SH16542,37,-110,105,-1,36,-1,68,69,0,1
SH16543,52,0,86,0,52,-4,33,34,0,1
SH16544,80,0,84,0,-32,24,4,117,114,5
SH16545,37,0,94,0,12,-11,57,81,24,1
SH16546,37,0,77,0,26,-8,40,51,10,1
SH16547,43,0,84,-7,42,0,41,43,2,1
SH16548,51,-5,79,0,52,0,27,27,0,1
SH16549,37,0,81,0,24,-1,45,58,14,1
SH16550,55,0,79,0,24,23,23,55,32,4
SH16551,37,0,77,0,-2,2,41,80,40,1
SH16552,81,0,84,0,-12,10,3,97,94,5
SH16553,44,0,82,0,44,6,38,38,0,1
SH16554,51,-5,81,0,50,-19,30,32,2,1
SH16555,37,0,80,6,10,0,43,70,26,1
SH16556,62,0,110,4,62,0,48,48,0,1
SH16557,37,0,78,0,10,-15,42,68,26,1
SH16558,43,3,78,0,42,0,35,37,2,1
SH16559,55,0,77,0,16,-4,22,62,40,4
SH16560,43,2,89,0,42,0,46,48,2,1
SH16561,44,3,86,-4,44,0,42,42,0,1
SH16562,37,-78,76,0,20,0,39,55,16,3
SH16563,56,3,97,0,44,3,41,53,12,4
SH16564,54,0,81,-1,54,8,27,26,0,1
SH16565,56,0,81,0,6,28,25,75,50,4
SH16566,50,0,82,-3,50,0,32,33,0,1
SH16567,37,1,104,0,16,-18,66,88,22,1
SH16568,49,5,77,0,46,-14,29,31,2,1
SH16569,44,0,82,0,44,3,38,38,0,1
SH16570,37,0,94,0,12,0,57,81,24,1
SH16571,55,0,77,0,18,-12,22,59,38,4
SH16572,56,3,84,0,56,1,28,27,0,1
SH16573,55,0,95,-2,52,-2,40,44,4,4
SH16574,37,-1,76,0,36,0,39,39,0,1
SH16575,55,0,84,0,54,0,30,30,0,1
SH16576,37,0,77,1,36,-3,39,41,2,1
SH16577,43,0,80,0,44,27,37,36,0,1
SH16578,50,-4,85,0,50,0,36,36,0,1
SH16579,43,0,83,-2,42,-13,40,42,2,1
SH16580,45,-1,79,-6,44,-9,34,35,0,1
SH16581,46,0,86,-148,46,0,40,40,0,1
SH16582,55,0,97,8,46,0,41,50,8,4
SH16583,55,-1,78,0,16,-5,23,63,40,4
SH16584,46,3,86,0,44,-21,40,42,2,1
SH16585,46,0,87,0,46,2,41,41,0,1
SH16586,55,-5,85,0,54,0,30,31,0,1
SH16587,47,5,88,0,46,0,40,41,0,1
SH16588,52,-3,78,0,52,0,26,26,0,1
SH16589,45,2,86,0,44,-4,41,42,2,1
SH16590,37,0,95,0,24,17,58,72,14,1
SH16591,41,-1,77,0,42,9,36,35,0,1
SH16592,51,0,81,0,50,-26,30,32,2,1
SH16593,45,0,74,-1,44,0,30,30,0,1
SH16594,46,1,81,2,46,8,35,34,0,1
SH16595,42,-2,88,-4,42,0,46,46,0,1
SH16596,37,0,79,0,12,-23,43,66,24,1
SH16597,39,-1,107,-8,38,0,68,68,0,1
SH16598,78,0,81,-7,-40,0,4,123,120,5
SH16599,55,0,95,0,52,-9,40,44,4,4
SH16600,41,0,77,0,42,17,37,36,0,1
SH16601,37,0,81,0,20,-16,44,60,16,1
SH16602,46,5,82,0,46,16,36,35,0,1
SH16603,37,0,74,-1,24,14,37,51,14,1
SH16604,82,5,86,0,-22,16,4,109,106,5
SH16605,55,0,78,2,8,-28,23,70,48,4
SH16606,37,0,76,-4,36,7,40,40,0,1
SH16607,40,0,86,0,38,-4,46,48,2,1
SH16608,37,0,83,0,12,-16,46,70,24,1
SH16609,51,-5,80,-2,50,-34,29,31,2,1
SH16610,45,5,93,0,46,31,48,47,0,1
SH16611,57,10,76,12,-4,0,19,81,62,4
SH16612,47,-4,108,0,46,0,60,61,0,1
SH16613,37,0,77,-2,36,-3,40,41,0,1
SH16614,43,-1,82,0,42,-3,39,41,2,1
SH16615,37,0,74,-1,20,-20,37,54,16,1
SH16616,41,0,81,1,38,-6,40,42,2,1
SH16617,37,0,76,-1,24,-9,39,52,14,1
SH16618,40,5,106,0,38,0,66,67,2,1
SH16619,37,0,93,-1,30,0,56,62,6,1
SH16620,44,-1,78,-4,44,0,34,34,0,1
SH16621,43,-4,86,0,44,14,42,42,0,1
SH16622,47,2,78,-5,46,0,31,32,0,1
SH16623,37,0,79,0,10,804,42,69,26,1
SH16624,56,3,97,0,42,-8,40,55,14,4
SH16625,43,0,79,0,42,-17,35,37,2,1
SH16626,37,0,77,0,16,-1,41,62,22,1
SH16627,106,-1,107,-1,72,5,1,35,34,5
SH16628,82,-2,86,0,-4,-7,3,91,88,5
SH16629,47,1,83,0,46,0,37,37,0,1
SH16630,49,-2,81,0,50,13,33,32,0,1
SH16631,51,0,78,-4,52,0,27,26,0,1
SH16632,56,1,80,0,20,-7,24,59,36,4
SH16633,41,0,85,1,42,15,44,44,0,1
SH16634,55,0,77,0,38,-27,22,39,16,4
SH16635,37,0,78,0,16,-24,42,63,22,1
SH16636,55,-1,83,-5,54,0,28,28,0,1
SH16637,41,-4,84,0,42,15,43,43,0,1
SH16638,56,0,95,0,54,4,39,41,2,1
SH16639,37,4,104,0,18,6,66,86,20,1
SH16640,55,0,79,0,10,2,23,68,46,4
SH16641,36,-2,76,0,36,0,40,40,0,1
SH16642,37,0,106,6,28,0,69,78,8,1
SH16643,50,0,107,-1,50,0,57,58,0,1
SH16644,45,0,83,-1,44,-1,38,39,0,1
SH16645,55,-1,98,0,46,3,42,51,8,4
SH16646,56,0,92,0,0,1,36,92,56,4
SH16647,45,0,86,-2,46,14,41,40,0,1
SH16648,43,0,81,-1,42,-11,38,40,2,1
SH16649,37,0,76,0,26,-25,40,50,10,1
SH16650,56,0,80,1,-4,0,24,85,62,4
SH16651,37,0,92,-6,12,1,55,79,24,1
SH16652,56,-1,97,0,54,13,41,42,2,1
SH16653,41,0,86,0,42,12,46,45,0,1
SH16654,37,0,103,-1,28,0,66,75,8,1
SH16655,41,1,76,0,42,2,35,35,0,1
SH16656,85,0,88,2,6,3,3,83,80,5
SH16657,102,0,103,4,70,-9,1,33,32,5
SH16658,79,0,84,4,-42,-10,4,128,124,5
SH16659,42,0,77,-7,42,0,35,36,2,1
SH16660,41,3,77,0,38,-20,36,39,2,1
SH16661,37,-7,76,0,20,0,39,55,16,1
SH16662,51,0,86,-2,50,-24,35,37,2,1
SH16663,37,0,97,0,28,-1,60,69,8,1
SH16664,37,0,78,0,6,14,41,73,32,1
SH16665,37,0,81,0,28,-2,45,53,8,1
SH16666,43,0,87,1,44,21,44,43,0,1
SH16667,42,-5,78,0,42,0,37,37,0,1
SH16668,55,0,81,-2,-12,0,26,94,68,4
SH16669,55,0,79,0,54,-1,23,24,2,1
SH16670,38,3,80,0,36,-5,42,44,2,1
SH16671,51,2,84,0,52,12,33,33,0,1
SH16672,45,0,86,0,46,10,41,40,0,1
SH16673,46,0,79,0,44,-8,34,35,2,1
SH16674,85,0,88,0,0,-29,3,88,86,5
SH16675,44,0,82,0,42,-30,38,41,2,1
SH16676,37,0,76,-2,30,-4,39,45,6,1
SH16677,39,0,106,5,38,0,68,67,0,1
SH16678,43,-5,80,0,42,0,37,39,2,1
SH16679,50,1,86,-1,50,0,36,37,0,1
SH16680,44,0,79,-2,42,-21,35,37,2,1
SH16681,37,-32,106,0,30,0,69,75,6,3
SH16682,45,-1,83,0,46,7,37,36,0,1
SH16683,49,-2,84,0,50,9,35,35,0,1
SH16684,48,-1,90,0,46,0,42,43,2,1
SH16685,49,5,80,0,50,31,31,31,0,1
SH16686,37,0,76,0,24,10,40,53,14,1
SH16687,43,0,87,0,42,-12,44,46,2,1
SH16688,53,5,86,0,52,-2,33,35,2,1
SH16689,41,0,88,0,38,-9,48,50,2,1
SH16690,37,0,77,3,28,-4,41,49,8,1
SH16691,37,-3,102,0,36,8,65,66,2,1
SH16692,43,0,76,0,44,12,33,32,0,1
SH16693,40,0,89,-1,38,-1,49,50,2,1
SH16694,76,0,81,0,-42,-7,5,125,120,5
SH16695,41,0,88,0,42,8,47,46,0,1
SH16696,82,5,86,8,-40,1,5,128,124,5
SH16697,44,4,77,0,42,-9,33,35,2,1
SH16698,39,-2,83,3,38,0,44,44,0,1
SH16699,37,0,79,0,12,3,43,66,24,1
SH16700,56,-2,85,1,56,0,29,28,0,1
SH16701,37,0,91,0,10,5,53,81,28,1
SH16702,37,0,80,0,36,-8,43,44,2,1
SH16703,55,2,82,0,54,-4,26,28,2,1
SH16704,56,0,97,5,54,0,40,42,2,1
SH16705,46,5,86,0,44,-17,40,42,2,1
SH16706,55,0,77,0,38,-7,22,39,16,4
SH16707,46,5,76,0,46,0,29,29,0,1
SH16708,43,0,108,0,42,-11,65,67,2,1
SH16709,42,5,90,0,42,0,48,48,0,1
SH16710,37,0,80,6,34,0,43,46,2,1
SH16711,45,5,82,4,44,0,37,38,0,1
SH16712,47,-2,85,-2,46,-3,38,39,0,1
SH16713,37,0,82,0,36,-20,45,46,2,1
SH16714,41,0,89,0,38,-9,48,50,2,1
SH16715,45,0,85,-1,44,-6,40,41,2,1
SH16716,51,-2,81,0,50,-8,30,32,2,1
SH16717,54,0,89,2,54,0,35,35,0,1
SH16718,45,0,80,0,44,-10,35,36,2,1
SH16719,55,0,79,8,12,-20,23,66,42,4
SH16720,59,0,87,1,60,0,28,28,0,1
SH16721,46,2,82,-1,46,0,36,35,0,1
SH16722,55,-1,81,0,-10,0,26,92,66,4
SH16723,55,-4,76,0,-18,0,21,94,74,4
SH16724,49,0,79,0,46,-13,30,32,2,1
SH16725,37,0,80,0,38,24,43,41,0,1
SH16726,41,0,81,2,42,13,41,40,0,1
SH16727,49,4,81,0,50,18,33,32,0,1
SH16728,39,0,85,1,38,0,46,46,0,1
SH16729,55,-1,83,-5,54,0,28,29,2,1
SH16730,41,0,83,3,42,6,41,41,0,1
SH16731,41,-1,78,0,38,-29,37,39,2,1
SH16732,37,0,94,-4,8,-1,57,86,30,1
SH16733,50,0,84,7,50,0,35,35,0,1
SH16734,55,0,96,0,54,-1,41,42,2,1
SH16735,56,0,97,0,46,-1,41,50,10,4
SH16736,49,0,111,0,50,6,62,62,0,1
SH16737,51,0,77,0,52,11,26,25,0,1
SH16738,81,-5,85,-1,-42,-30,4,129,124,5
SH16739,48,-1,81,0,46,-11,33,35,2,1
SH16740,56,1,77,4,-4,0,21,82,62,4
SH16741,46,0,77,1,46,5,32,31,0,1
SH16742,102,0,103,0,72,21,1,31,30,5
SH16743,49,5,88,0,46,-1,39,41,2,1
SH16744,45,-2,81,0,46,6,35,34,0,1
SH16745,56,0,99,-3,50,0,43,50,6,4
SH16746,47,0,75,-1,46,0,28,28,0,1
SH16747,44,0,83,0,44,22,40,39,0,1
SH16748,37,0,105,-7,24,0,68,82,14,1
SH16749,59,0,87,0,60,25,28,28,0,1
SH16750,39,-5,108,-1,38,-2,68,69,0,1
SH16751,80,-1,84,-5,-36,0,4,120,116,5
SH16752,46,1,81,0,46,6,35,35,0,1
SH16753,37,0,77,0,34,25,40,43,2,1
SH16754,41,0,79,1,42,2,38,38,0,1
SH16755,50,1,86,-2,50,0,36,37,0,1
SH16756,55,0,79,0,6,-1,23,74,50,4
SH16757,50,5,77,-1,50,0,26,28,2,1
SH16758,43,0,85,-3,42,-5,42,44,2,1
SH16759,37,2,98,0,30,-22,61,67,6,1
SH16760,37,0,80,0,20,-7,43,59,16,1
SH16761,46,0,83,4,46,0,37,36,0,1
SH16762,47,0,81,-4,46,0,33,34,0,1
SH16763,82,0,86,0,-22,3,4,109,106,5
SH16764,37,0,80,0,26,28,43,54,12,1
SH16765,38,5,105,0,34,0,67,71,4,1
SH16766,116,602,106,-1,30,29,-10,75,84,5
SH16767,37,-1,81,0,38,5,43,42,0,1
SH16768,38,-4,76,0,38,0,37,37,0,1
SH16769,48,-2,86,0,46,-1,39,40,2,1
SH16770,56,0,78,-1,44,5,22,34,12,4
SH16771,45,0,79,-6,44,0,35,35,0,1
SH16772,37,0,106,0,16,-27,69,90,22,1
SH16773,48,0,110,0,46,-1,62,64,2,1
SH16774,56,2,77,-7,44,0,22,34,12,4
SH16775,37,0,104,0,26,-11,67,78,12,1
SH16776,44,0,75,0,42,-17,31,34,2,1
SH16777,43,0,81,0,44,8,37,37,0,1
SH16778,48,0,86,-2,46,0,37,39,2,1
SH16779,37,0,76,0,36,20,40,40,0,1
SH16780,56,1,99,0,50,8,42,49,8,4
SH16781,47,-1,88,-2,46,0,40,41,0,1
SH16782,49,-1,86,0,50,6,38,37,0,1
SH16783,49,-1,81,0,50,0,31,32,0,1
SH16784,42,-1,86,2,42,0,44,45,2,1
SH16785,45,-1,76,-5,44,-7,31,32,2,1
SH16786,37,-4,76,-3,20,-7,39,55,16,1
SH16787,45,1,86,0,44,-6,41,42,2,1
SH16788,56,0,95,0,56,30,40,39,0,1
SH16789,37,0,100,0,30,-14,64,69,6,1
SH16790,55,0,93,0,10,-11,37,82,46,4
SH16791,55,0,83,4,54,0,27,28,2,1
SH16792,37,-2,79,0,24,1,42,55,14,1
SH16793,46,0,83,0,46,7,37,37,0,1
SH16794,37,2,77,0,36,0,40,41,0,1
SH16795,55,0,77,0,-30,-1,22,108,86,4
SH16796,37,0,104,-4,24,0,67,80,14,1
SH16797,37,0,76,0,38,10,38,37,0,1
SH16798,56,0,81,0,-6,13,25,88,64,4
SH16799,37,-1,78,0,36,-18,41,42,2,1
SH16800,45,0,82,-2,44,0,37,38,0,1
SH16801,41,0,88,0,38,-20,48,50,2,1
SH16802,37,0,92,0,20,3,55,71,16,1
SH16803,44,0,77,7,44,7,34,34,0,1
SH16804,37,0,103,-1,24,-3,66,80,14,1
SH16805,56,0,95,0,52,8,39,43,4,4
SH16806,49,2,80,0,50,2,31,31,0,1
SH16807,56,3,99,1,42,0,43,57,14,4
SH16808,102,5,103,4,70,-22,1,33,32,5
SH16809,37,0,92,8,10,0,54,81,28,1
SH16810,56,5,80,0,54,-30,24,26,2,1
SH16811,52,-1,90,0,52,0,37,38,0,1
SH16812,41,-5,80,0,38,-13,39,41,2,1
SH16813,55,-5,77,0,16,0,22,62,40,4
SH16814,37,0,77,1,36,14,40,41,0,1
SH16815,44,0,86,0,44,22,42,42,0,1
SH16816,41,3,84,0,42,14,43,43,0,1
SH16817,51,0,81,0,50,-13,30,32,2,1
SH16818,101,0,102,0,72,4122,1,30,28,5
SH16819,46,0,109,0,44,-30,64,66,2,1
SH16820,38,0,92,0,20,26,54,71,18,1
SH16821,46,0,81,0,46,9,35,34,0,1
SH16822,65,5,113,0,64,2,48,48,0,1
SH16823,48,5,86,0,46,0,38,40,2,1
SH16824,55,2,77,0,26,-3,22,52,30,4
SH16825,45,2,86,0,44,-5,41,42,2,1
SH16826,49,1,82,0,46,-17,33,35,2,1
SH16827,37,0,104,0,34,7,67,71,4,1
SH16828,46,4,82,0,46,0,36,35,0,1
SH16829,57,0,85,0,56,0,28,28,0,1
SH16830,56,0,78,0,8,8,22,70,48,4
SH16831,42,5,85,0,42,0,43,44,0,1
SH16832,56,0,97,0,54,3,41,43,2,1
SH16833,103,2,104,5,70,0,1,35,34,5
SH16834,41,-3,79,0,38,-19,38,40,2,1
SH16835,37,0,75,0,24,11,38,52,14,1
SH16836,37,0,76,1,36,14,39,40,2,1
SH16837,37,0,94,3,10,-23,57,84,26,1
SH16838,55,0,96,0,54,19,41,42,0,1
SH16839,37,0,80,0,26,-4,43,54,12,1
SH16840,45,0,86,-2,46,12,41,40,0,1
SH16841,45,-4,93,0,44,0,49,50,0,1
SH16842,37,-3,104,0,24,11,67,80,14,1
SH16843,49,0,87,2,50,14,38,38,0,1
SH16844,55,2,91,0,54,0,35,37,2,1
SH16845,57,0,80,-6,56,0,23,23,0,1
SH16846,46,5,78,0,46,9,32,32,0,1
SH16847,37,0,82,-7,-4,0,45,87,42,1
SH16848,41,-4,86,0,38,-20,46,48,2,1
SH16849,46,5,87,5,46,10,41,41,0,1
SH16850,48,-4,83,0,46,0,35,36,2,1
SH16851,38,1,79,0,38,9,42,41,0,1
