LR,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,A11,A12,A13,A14,A15,A16,class
LR2328,1,4,2,3,1,8,7,5,8,6,6,8,1,8,7,7,Z
LR2329,6,11,8,8,8,8,6,5,5,6,7,8,8,6,2,7,M
LR2330,3,7,3,5,2,3,7,6,11,7,7,15,0,8,7,7,E
LR2331,4,10,5,8,4,8,6,12,4,7,13,7,3,8,0,9,U
LR2332,3,8,3,6,4,5,9,7,3,7,5,8,2,7,5,11,R
LR2333,4,11,4,8,3,5,7,11,8,7,6,5,3,8,4,8,D
LR2334,5,7,6,5,6,7,8,6,4,8,6,8,3,10,8,11,F
LR2335,7,11,8,8,5,5,7,5,7,12,9,13,4,11,5,5,C
LR2336,5,10,6,8,4,7,4,2,8,7,1,8,1,6,3,7,L
LR2337,5,11,6,8,7,6,9,6,4,8,6,8,3,10,8,11,F
LR2338,2,4,4,3,2,9,6,3,7,10,4,8,1,9,5,9,S
LR2339,6,9,8,8,8,5,7,3,5,7,6,11,4,11,8,8,C
LR2340,4,6,4,4,3,7,5,12,4,7,12,8,3,9,0,8,U
LR2341,6,13,6,7,4,8,9,4,3,12,4,4,4,11,5,6,P
LR2342,3,6,4,4,2,7,7,14,0,7,6,8,3,8,0,8,H
LR2343,3,5,6,3,3,7,7,3,6,10,6,8,3,8,3,7,H
LR2344,4,5,5,4,4,8,7,6,6,7,6,8,3,8,3,7,H
LR2345,4,7,4,5,2,2,11,3,3,11,11,8,2,11,0,8,V
LR2346,4,11,5,8,4,8,5,3,7,12,4,10,1,6,2,6,J
LR2347,2,1,3,3,2,7,7,5,9,6,6,8,1,8,7,8,Z
LR2348,4,3,5,5,3,7,7,12,1,7,9,8,8,6,0,8,M
LR2349,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8,I
LR2350,7,11,7,6,3,9,5,4,4,13,6,8,2,9,3,8,S
LR2351,1,4,2,3,1,10,7,1,7,11,4,7,0,7,1,7,J
LR2352,10,15,10,8,5,4,9,2,2,8,10,8,9,12,1,6,W
LR2353,6,9,9,7,5,9,8,2,5,10,2,4,7,10,2,7,N
LR2354,1,1,1,3,1,7,7,1,6,7,6,8,0,8,2,8,I
LR2355,5,6,7,4,6,7,6,5,5,8,6,11,10,5,2,9,M
LR2356,3,8,4,6,3,7,8,6,10,6,4,9,3,8,6,8,E
LR2357,4,7,5,5,3,7,7,6,7,10,7,11,2,9,4,9,G
LR2358,2,3,3,1,1,5,9,4,4,9,8,5,1,9,3,7,P
LR2359,5,11,7,8,6,10,7,3,5,10,3,7,3,7,4,10,R
LR2360,2,3,3,2,2,7,7,5,9,6,6,8,1,8,7,8,Z
LR2361,2,4,3,3,2,7,7,6,4,9,6,8,2,8,2,8,O
LR2362,4,8,6,6,6,5,11,2,2,7,8,8,7,11,1,8,W
LR2363,2,4,3,3,1,11,3,3,2,11,2,9,2,6,2,9,A
LR2364,0,0,1,0,0,12,4,5,3,12,5,11,0,7,0,8,J
LR2365,3,5,4,4,3,9,12,4,5,5,11,9,2,12,1,8,T
LR2366,2,1,3,3,2,7,7,3,8,6,6,8,2,8,6,8,X
LR2367,2,7,3,5,1,14,2,6,5,14,2,11,0,7,0,8,J
LR2368,2,2,3,3,2,7,7,6,6,7,6,5,2,8,3,7,D
LR2369,2,9,3,6,2,10,6,1,7,11,3,6,0,7,1,7,J
LR2370,3,8,5,6,3,8,7,4,8,6,6,8,3,8,6,8,X
LR2371,1,7,2,5,2,10,6,1,5,11,4,8,0,6,1,7,J
LR2372,4,4,6,3,3,8,11,3,2,6,9,8,8,12,1,7,W
LR2373,3,9,5,7,3,11,4,2,2,8,2,9,3,5,3,8,A
LR2374,3,5,5,4,3,9,7,3,5,10,4,6,3,7,4,10,R
LR2375,6,11,6,8,4,3,11,1,2,9,10,8,4,11,1,7,V
LR2376,8,11,7,6,3,7,9,4,8,13,6,8,2,7,4,6,T
LR2377,5,8,5,6,2,3,11,3,4,10,11,7,2,10,1,8,V
LR2378,1,0,1,0,1,7,7,6,4,6,6,7,1,8,5,9,B
LR2379,2,1,3,2,2,7,7,5,5,7,6,10,3,7,4,9,G
LR2380,4,9,6,6,5,9,6,4,6,10,5,7,3,7,6,9,B
LR2381,5,9,5,7,3,7,7,15,2,4,6,8,6,8,0,8,N
LR2382,2,3,3,2,2,6,7,4,7,6,6,10,3,8,4,9,K
LR2383,3,6,4,4,1,7,4,13,5,7,13,8,3,9,0,8,U
LR2384,3,7,4,5,3,5,4,5,7,2,2,5,1,6,1,5,L
LR2385,2,4,3,3,2,8,7,6,3,9,6,8,2,8,2,8,O
LR2386,5,5,7,8,4,9,8,4,2,7,8,8,9,9,0,8,W
LR2387,4,11,6,8,7,7,7,5,6,7,6,9,6,8,3,8,H
LR2388,8,12,6,6,4,9,5,4,5,10,5,9,5,7,7,10,B
LR2389,5,8,5,6,3,3,12,3,3,10,11,8,2,10,1,8,V
LR2390,4,6,6,4,5,9,6,4,5,10,3,6,3,7,3,8,D
LR2391,3,5,4,8,7,8,7,5,0,6,6,9,7,10,6,12,Q
LR2392,7,12,6,7,3,10,4,4,4,10,3,6,4,7,5,9,G
LR2393,4,7,5,5,3,6,7,10,10,6,5,6,3,8,4,8,D
LR2394,6,10,8,8,6,6,6,6,6,5,6,11,2,9,4,8,G
LR2395,1,4,2,3,1,6,4,2,7,7,2,9,0,7,2,8,L
LR2396,6,9,6,5,3,8,6,5,5,10,4,6,4,7,6,10,D
LR2397,1,0,2,0,0,7,7,11,1,7,6,8,3,8,0,8,H
LR2398,3,3,5,4,1,8,8,4,2,6,14,8,3,10,0,8,V
LR2399,3,9,5,7,3,7,12,3,7,7,12,8,1,12,1,8,T
LR2400,4,8,7,6,4,7,10,2,3,7,9,8,8,11,1,8,W
LR2401,1,5,3,4,1,7,7,0,7,13,6,8,0,8,1,8,I
LR2402,3,6,4,4,4,9,6,6,4,6,7,5,7,5,2,6,M
LR2403,3,8,4,6,5,6,7,3,4,6,7,10,4,11,8,7,E
LR2404,5,5,6,7,2,7,4,14,6,7,15,8,3,9,0,8,U
LR2405,3,5,5,3,2,10,2,2,2,10,2,9,2,6,2,7,A
LR2406,11,15,11,8,6,9,11,6,4,4,6,9,10,12,2,7,M
LR2407,3,4,5,3,3,8,6,6,4,7,7,8,7,5,2,7,M
LR2408,3,9,5,7,3,10,2,2,2,8,1,8,2,7,3,8,A
LR2409,4,8,6,7,6,7,6,5,5,7,7,7,3,9,8,11,L
LR2410,4,8,5,6,4,7,9,6,5,7,6,8,3,7,6,9,R
LR2411,6,11,7,8,6,8,5,13,5,6,12,8,3,9,0,8,U
LR2412,0,0,1,0,0,5,7,5,6,7,6,12,0,8,5,11,E
LR2413,4,7,6,6,5,5,9,3,5,8,7,9,4,10,7,7,E
LR2414,7,15,7,8,5,8,9,4,4,12,5,4,4,11,6,6,P
LR2415,3,7,4,5,3,8,5,12,4,7,11,8,3,9,0,8,U
LR2416,5,10,7,8,4,3,9,4,4,10,11,10,5,7,1,8,N
LR2417,3,7,5,5,5,8,7,4,4,7,6,7,4,6,8,13,K
LR2418,5,5,6,8,2,7,7,5,4,7,6,8,3,8,4,8,X
LR2419,1,0,1,0,0,7,7,6,3,7,6,8,2,8,3,8,O
LR2420,6,5,6,8,3,5,7,10,9,7,6,5,3,8,4,8,D
LR2421,3,7,4,5,1,8,6,3,7,15,5,10,0,7,1,7,J
LR2422,5,10,7,8,4,5,9,3,9,11,9,9,2,9,5,5,E
LR2423,3,6,3,4,2,6,8,10,8,7,7,6,3,8,4,8,D
LR2424,3,3,4,5,3,8,8,7,2,5,7,9,2,9,5,9,Q
LR2425,9,15,8,8,6,8,6,3,7,10,5,6,6,7,9,6,D
LR2426,3,4,4,3,2,7,7,7,4,9,7,9,2,8,3,8,O
LR2427,8,8,6,11,5,7,7,4,3,11,6,8,3,9,11,6,Z
LR2428,5,6,6,8,4,5,12,8,3,7,3,9,3,7,7,11,R
LR2429,4,7,5,5,4,11,7,2,5,11,3,7,3,7,3,11,R
LR2430,5,10,5,8,3,3,8,6,12,7,5,15,0,8,7,7,E
LR2431,7,10,7,7,3,2,11,5,6,13,13,7,2,11,2,6,Y
LR2432,0,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8,I
LR2433,4,7,6,5,3,4,8,5,1,7,9,8,8,10,0,8,W
LR2434,4,10,6,7,6,6,7,3,7,6,5,8,3,8,5,9,K
LR2435,2,6,3,4,3,6,10,3,5,10,9,5,2,10,3,6,F
LR2436,5,5,5,7,4,6,7,9,6,7,6,6,2,8,9,10,B
LR2437,3,7,4,5,3,6,7,8,6,7,6,4,3,8,3,7,D
LR2438,5,8,6,9,6,8,7,7,4,9,8,9,4,9,7,9,Q
LR2439,8,10,9,8,4,3,8,6,8,10,10,9,3,9,2,5,U
LR2440,7,10,10,7,4,6,8,3,5,10,8,8,6,7,1,7,N
LR2441,2,3,2,2,1,4,9,5,6,12,9,10,1,9,2,7,C
LR2442,5,9,9,7,6,5,5,2,4,3,2,7,6,7,7,2,A
LR2443,2,2,3,3,2,8,7,5,5,6,5,5,2,8,6,9,B
LR2444,9,14,6,8,3,7,8,7,7,11,6,7,2,9,6,8,C
LR2445,3,5,5,6,1,8,15,1,5,7,11,8,0,8,0,8,T
LR2446,2,4,4,5,1,8,10,2,2,6,12,8,1,11,0,8,Y
LR2447,4,6,6,5,6,8,4,4,4,7,4,10,5,6,7,7,Q
LR2448,6,11,5,6,3,11,4,3,4,10,2,7,4,7,4,9,G
LR2449,5,11,7,8,5,6,6,7,7,6,5,10,2,9,4,8,G
LR2450,3,8,6,5,2,6,5,3,0,6,1,8,2,7,2,7,A
LR2451,4,10,6,8,3,7,4,0,9,9,2,10,0,7,3,8,L
LR2452,3,6,4,5,4,8,6,5,5,7,7,9,3,8,7,10,L
LR2453,9,12,8,7,5,6,6,5,4,9,9,6,5,11,4,6,Y
LR2454,1,1,2,1,1,6,7,8,6,6,6,6,2,8,3,8,D
LR2455,5,10,8,8,5,9,8,5,8,10,5,4,4,7,5,9,D
LR2456,3,9,5,7,4,9,3,2,2,7,2,8,2,6,3,6,A
LR2457,7,15,7,8,5,6,11,3,5,13,6,3,3,9,5,5,P
LR2458,4,10,5,7,3,5,7,10,9,6,6,5,3,8,4,8,D
LR2459,4,8,5,6,4,8,6,8,4,7,4,8,3,8,3,8,O
LR2460,5,6,5,4,4,5,8,5,6,9,7,10,3,9,3,6,U
LR2461,4,7,5,5,3,5,9,3,6,10,7,6,3,7,4,5,S
LR2462,7,10,9,7,7,5,9,2,8,11,8,9,3,8,5,6,E
LR2463,5,8,6,6,5,8,6,8,5,7,6,9,3,8,4,6,U
LR2464,5,9,6,7,4,4,8,7,8,7,8,14,2,8,4,10,C
LR2465,5,11,6,8,3,5,9,11,6,8,6,5,2,10,4,8,P
LR2466,2,0,2,1,0,7,5,11,4,7,13,8,3,10,0,8,U
LR2467,3,6,4,4,4,9,6,3,5,10,4,7,2,8,4,10,B
LR2468,6,9,8,6,5,10,6,4,7,10,4,6,5,9,5,8,D
LR2469,4,6,6,8,1,7,11,2,3,7,12,8,1,11,0,8,Y
LR2470,3,7,5,5,3,8,2,2,2,7,1,8,2,7,3,7,A
LR2471,7,12,6,6,4,7,6,4,3,9,6,8,4,9,9,8,G
LR2472,6,11,7,8,6,7,8,8,7,7,6,6,4,7,5,10,O
LR2473,4,3,5,4,4,6,7,6,6,7,6,10,3,8,3,8,H
LR2474,3,6,5,8,1,10,11,2,4,4,12,8,0,10,0,8,Y
LR2475,3,2,4,4,3,5,7,4,7,7,6,11,3,8,5,9,K
LR2476,5,10,5,7,7,6,7,8,5,7,6,7,2,8,7,10,B
LR2477,2,3,4,1,2,5,7,4,3,10,10,10,4,7,1,6,M
LR2478,3,7,5,6,5,5,8,3,5,7,7,11,3,9,6,10,C
LR2479,4,7,6,6,5,6,4,4,5,6,4,7,3,5,6,6,Q
LR2480,6,9,8,8,9,8,8,4,5,7,7,7,5,10,10,10,S
LR2481,4,10,6,8,4,5,6,2,6,7,7,12,0,9,4,9,I
LR2482,7,11,9,8,6,9,8,4,7,9,3,7,3,6,5,11,R
LR2483,8,11,8,6,4,9,6,5,6,12,4,8,6,6,6,10,D
LR2484,5,9,8,6,4,5,8,2,8,11,11,9,3,9,4,6,X
LR2485,3,5,4,5,3,8,7,7,4,6,6,9,2,8,4,9,Q
LR2486,3,5,4,4,2,4,4,4,8,2,1,6,0,7,1,6,L
LR2487,3,7,5,5,5,8,7,7,5,8,6,7,3,8,5,9,R
LR2488,9,13,9,7,5,10,6,4,5,9,5,5,7,10,5,9,H
LR2489,4,5,5,7,2,4,7,9,2,7,5,11,4,8,2,11,K
LR2490,1,9,2,6,2,7,7,0,6,7,6,8,0,8,2,8,I
LR2491,2,6,5,4,3,5,5,2,2,4,2,7,2,6,3,3,A
LR2492,4,6,6,4,4,7,7,4,6,7,6,8,6,8,3,7,D
LR2493,3,7,4,5,2,8,7,8,7,6,6,9,2,7,5,11,G
LR2494,3,9,5,6,1,8,10,3,2,6,13,8,2,11,0,8,Y
LR2495,3,9,6,7,4,13,3,3,3,11,1,9,2,6,2,9,A
LR2496,7,10,6,5,3,6,6,4,5,4,8,7,5,8,2,6,U
LR2497,1,1,1,2,1,7,7,1,7,7,6,8,0,8,2,8,I
LR2498,2,1,2,1,1,8,7,6,4,6,6,8,2,8,3,8,Q
LR2499,1,3,2,2,0,9,6,3,6,14,6,10,0,7,0,8,J
LR2500,6,9,9,8,8,7,9,4,4,7,4,7,9,7,6,6,N
LR2501,2,3,3,2,1,10,2,2,1,8,2,9,1,6,1,8,A
LR2502,4,5,5,8,2,8,7,9,7,7,5,8,3,8,4,8,O
LR2503,4,7,6,5,3,6,6,2,7,10,7,10,3,8,4,8,K
LR2504,4,8,5,6,5,7,5,10,0,7,8,8,8,5,2,10,M
LR2505,5,11,5,8,3,0,1,5,6,0,0,7,0,8,0,8,L
LR2506,5,7,6,6,6,5,7,4,3,7,6,8,5,11,9,8,E
LR2507,4,7,5,5,5,9,5,5,2,7,6,10,5,10,3,9,G
LR2508,3,5,5,4,3,9,6,3,6,10,4,8,3,8,3,9,H
LR2509,4,9,5,6,6,9,7,5,3,8,6,8,4,8,10,9,S
LR2510,6,7,6,5,3,7,11,3,7,11,8,4,4,10,4,4,T
LR2511,3,6,4,4,3,6,6,8,6,6,6,7,2,8,9,10,B
LR2512,2,7,4,5,3,11,3,2,2,9,2,9,2,6,3,8,A
LR2513,5,8,7,6,3,5,8,5,1,7,8,8,8,9,0,8,W
LR2514,6,9,9,6,10,10,3,3,2,9,4,8,11,5,3,7,M
LR2515,5,10,6,7,5,8,11,3,7,6,11,8,2,12,1,8,T
LR2516,4,8,6,6,2,6,7,8,8,7,6,7,3,8,4,8,O
LR2517,6,9,5,4,2,9,11,5,4,4,6,10,5,11,3,7,N
LR2518,4,5,7,3,4,7,6,3,4,9,7,8,7,5,2,8,M
LR2519,7,9,7,7,5,3,8,5,7,10,9,9,3,9,2,6,U
LR2520,3,5,4,3,3,8,7,6,6,7,6,6,3,8,3,6,H
LR2521,6,10,9,7,5,6,10,5,4,8,7,9,7,7,2,8,N
LR2522,7,12,5,9,5,8,9,2,4,11,6,7,2,9,8,9,J
LR2523,1,4,2,3,1,7,7,0,7,13,6,8,0,8,1,8,I
LR2524,3,8,4,6,2,7,8,9,7,7,7,8,3,8,4,8,O
LR2525,3,8,5,6,5,9,7,4,5,10,5,7,2,8,5,9,B
LR2526,4,6,6,9,9,9,7,6,1,7,6,9,10,9,5,7,Q
LR2527,5,11,6,8,2,3,7,8,2,7,6,11,4,8,2,11,K
LR2528,7,9,7,5,4,7,7,2,9,12,6,8,3,7,6,6,Z
LR2529,2,3,3,2,2,8,8,3,4,9,5,7,2,7,3,9,R
LR2530,3,4,5,3,3,7,8,3,5,10,6,6,2,8,5,9,B
LR2531,7,9,7,7,4,3,12,2,3,9,11,8,4,12,1,7,V
LR2532,6,12,6,7,5,10,6,3,5,10,4,8,6,8,6,10,R
LR2533,2,1,2,2,1,7,7,3,11,9,6,8,0,8,6,8,Z
LR2534,4,9,6,6,3,6,11,3,6,13,7,4,1,10,2,7,F
LR2535,4,8,5,6,2,7,7,6,9,5,6,8,0,8,9,7,S
LR2536,2,7,3,4,1,10,14,1,6,4,11,9,0,8,0,8,T
LR2537,3,6,5,4,6,8,6,5,4,7,7,8,7,9,7,8,B
LR2538,5,6,7,4,3,9,8,4,6,12,4,5,2,9,4,9,P
LR2539,7,10,7,7,3,4,10,2,8,11,11,6,1,10,3,3,Y
LR2540,5,6,7,5,5,8,8,3,4,7,8,8,5,9,3,6,A
LR2541,5,6,5,4,2,3,12,5,4,11,11,7,3,10,1,8,V
LR2542,3,9,5,7,5,6,9,4,5,9,8,4,1,10,4,7,P
LR2543,7,11,5,6,2,7,7,7,7,12,6,9,2,9,5,9,C
LR2544,4,8,6,6,7,8,7,4,3,6,6,7,7,8,7,6,H
LR2545,3,4,5,3,2,10,2,2,2,8,2,9,4,5,2,9,A
LR2546,3,6,6,4,4,8,5,2,4,7,2,6,2,6,4,6,A
LR2547,5,10,5,5,3,8,5,3,5,12,7,11,2,9,6,9,L
LR2548,3,8,4,6,2,8,7,1,8,12,5,8,0,6,2,6,J
LR2549,8,12,6,6,4,11,5,5,5,11,2,8,6,6,6,10,R
LR2550,2,6,3,4,1,7,13,0,5,7,10,8,0,8,0,8,T
LR2551,5,10,6,8,4,7,7,12,2,8,9,8,8,6,0,8,M
LR2552,7,7,7,5,6,4,11,2,2,10,9,7,7,11,2,6,W
LR2553,5,7,7,10,10,8,8,4,2,7,8,9,4,11,9,8,Y
LR2554,3,10,5,8,4,8,8,8,6,6,6,11,3,8,4,7,O
LR2555,8,10,12,8,7,7,8,3,7,10,5,7,3,8,3,8,H
LR2556,4,9,5,7,5,7,7,5,6,6,5,7,3,7,5,8,R
LR2557,6,11,7,8,8,8,7,5,5,7,5,7,4,8,6,8,B
LR2558,6,8,9,6,5,4,10,3,4,10,10,8,5,8,1,8,N
LR2559,2,4,2,2,1,8,8,6,5,7,5,7,2,8,8,8,S
LR2560,3,10,5,8,5,8,7,2,5,11,5,9,5,6,3,4,J
LR2561,2,7,3,5,1,0,2,3,5,1,0,8,0,8,0,8,L
LR2562,9,14,7,8,5,6,8,5,7,10,6,8,6,6,7,9,B
LR2563,3,9,5,7,3,11,3,3,4,11,2,9,2,6,3,8,A
LR2564,3,7,5,5,4,7,7,7,4,6,5,6,3,8,3,7,D
LR2565,7,10,5,8,4,7,10,3,2,12,5,5,2,9,8,9,J
LR2566,3,5,6,4,3,6,7,1,9,11,9,9,3,8,3,7,X
LR2567,2,0,3,1,1,7,5,11,5,7,14,8,3,10,0,8,U
LR2568,1,0,2,1,0,8,7,7,3,6,6,9,2,8,3,8,Q
LR2569,2,1,3,2,2,7,8,5,4,7,6,6,4,8,1,6,N
LR2570,4,7,5,5,5,9,6,5,4,7,8,7,3,9,8,4,Y
LR2571,7,6,6,9,3,6,12,2,3,10,10,6,4,11,5,7,Y
LR2572,5,11,8,8,8,9,7,5,5,6,7,5,10,8,3,5,M
LR2573,4,8,4,6,2,5,7,10,9,6,6,5,3,8,4,8,D
LR2574,4,7,6,9,5,10,11,3,2,7,8,8,3,11,7,10,H
LR2575,7,10,8,8,5,5,8,6,7,12,9,12,3,11,4,6,C
LR2576,1,2,2,2,1,8,8,4,2,8,7,9,2,9,3,9,Q
LR2577,2,3,4,4,2,8,3,1,2,7,2,8,2,6,2,7,A
LR2578,2,7,4,5,2,8,12,4,6,6,11,8,2,12,1,8,T
LR2579,6,8,8,9,7,8,8,4,7,6,7,7,4,11,11,9,J
LR2580,1,10,0,7,0,7,7,4,4,7,6,8,0,8,0,8,I
LR2581,9,13,8,7,6,7,9,3,5,11,6,6,5,8,8,7,F
LR2582,6,9,8,7,7,7,7,5,5,7,6,9,6,8,7,10,P
LR2583,4,6,5,4,3,6,7,5,6,8,6,8,3,9,3,6,U
LR2584,6,11,8,9,7,8,6,3,5,6,7,8,3,9,9,9,X
LR2585,4,5,4,3,3,5,10,5,4,10,8,4,1,10,4,7,P
LR2586,3,8,4,6,3,6,6,6,6,7,5,11,3,10,4,8,G
LR2587,3,5,5,3,3,5,11,2,2,8,9,9,6,10,0,8,W
LR2588,2,3,4,2,2,7,7,2,5,10,5,8,3,7,2,8,H
LR2589,3,8,4,6,2,7,7,3,13,10,6,8,0,8,8,8,Z
LR2590,2,1,2,2,1,8,8,6,5,8,6,7,2,8,8,8,S
LR2591,7,12,7,7,4,10,3,4,3,13,6,10,3,9,3,9,S
LR2592,5,10,5,8,4,7,7,12,2,7,9,8,8,6,0,8,M
LR2593,4,8,5,6,3,5,6,5,6,6,6,9,2,8,4,7,G
LR2594,6,11,6,8,4,5,11,9,3,7,4,8,3,8,6,11,R
LR2595,9,11,7,6,4,10,6,6,5,11,2,8,6,6,5,10,R
LR2596,1,6,0,4,1,7,7,5,3,7,6,8,0,8,0,8,I
LR2597,6,9,8,8,7,7,7,5,4,5,7,8,7,7,2,6,U
LR2598,5,5,6,7,3,7,7,9,8,7,5,7,3,8,4,8,O
LR2599,9,12,8,7,7,7,8,4,5,9,6,7,8,5,9,7,B
LR2600,3,7,5,5,3,4,10,3,3,10,10,9,5,8,1,7,N
LR2601,4,9,6,7,3,6,9,2,6,14,6,7,1,7,1,7,J
LR2602,3,10,6,7,2,7,3,3,3,7,1,8,3,6,3,7,A
LR2603,3,2,4,3,2,5,10,4,5,10,8,3,1,10,4,7,P
LR2604,2,1,2,1,0,7,10,2,2,7,12,8,1,11,0,8,Y
LR2605,5,5,7,8,8,8,8,7,3,7,7,8,6,10,6,4,Y
LR2606,6,7,8,5,4,9,7,3,5,10,2,5,5,9,1,7,N
LR2607,1,9,0,6,0,7,7,4,4,7,6,8,0,8,0,8,I
LR2608,5,10,5,6,2,6,10,3,5,13,6,5,2,8,5,6,F
LR2609,4,6,7,6,6,7,10,6,6,8,7,8,5,9,7,9,B
LR2610,6,11,8,8,7,10,7,3,6,10,3,7,6,8,5,9,H
LR2611,5,9,5,4,3,12,3,3,4,10,3,8,3,9,5,12,Q
LR2612,4,10,6,8,3,3,4,3,10,2,0,7,0,7,1,5,L
LR2613,4,8,5,6,5,7,7,5,8,7,7,9,3,8,6,9,E
LR2614,4,11,4,8,5,8,7,12,1,6,6,7,5,8,0,9,N
LR2615,4,7,6,5,4,9,7,4,6,9,4,7,3,7,5,11,R
LR2616,4,9,5,7,4,5,7,6,5,9,8,10,2,8,4,9,G
LR2617,5,12,5,7,3,10,2,3,4,12,4,11,2,8,4,10,L
LR2618,8,11,9,9,6,5,8,3,6,10,8,8,3,8,5,5,S
LR2619,7,9,6,5,3,4,7,5,3,9,11,6,4,10,3,4,Y
LR2620,2,0,2,1,1,5,7,5,8,7,6,12,0,8,7,9,E
LR2621,5,7,6,5,5,6,7,7,6,7,6,8,3,9,6,10,T
LR2622,2,5,5,4,2,10,5,4,5,14,5,11,1,6,1,7,J
LR2623,3,8,3,6,1,1,14,5,3,12,10,5,0,8,2,6,F
LR2624,4,8,5,6,2,7,7,4,14,9,6,8,0,8,8,8,Z
LR2625,6,9,6,4,2,5,12,5,2,11,7,4,3,11,2,7,V
LR2626,2,3,3,1,1,8,2,2,1,7,2,8,2,6,2,7,A
LR2627,2,2,1,4,1,7,7,1,8,7,6,8,0,8,3,8,I
LR2628,2,7,4,5,2,5,11,3,3,9,11,9,2,11,1,8,V
LR2629,2,7,4,5,2,8,11,2,3,5,10,8,2,11,1,8,V
LR2630,2,4,3,3,3,7,8,5,5,7,6,6,2,8,6,9,B
LR2631,7,9,7,7,4,4,7,5,7,11,9,14,3,10,4,7,C
LR2632,7,15,7,8,5,8,5,5,5,6,6,7,5,7,3,6,U
LR2633,2,7,3,5,2,7,7,3,12,8,6,8,0,8,7,8,Z
LR2634,10,13,8,7,5,7,7,5,5,9,4,9,7,6,7,11,R
LR2635,8,11,11,9,7,8,6,3,6,10,5,8,3,8,3,8,H
LR2636,4,5,4,6,4,8,5,6,3,9,6,9,3,8,4,8,Q
LR2637,3,5,4,6,3,8,10,5,2,6,9,12,2,10,6,8,Q
LR2638,5,8,5,6,3,5,8,0,8,9,9,6,1,10,3,4,Y
LR2639,5,10,7,8,4,9,2,3,3,8,1,8,2,7,4,8,A
LR2640,4,6,5,4,3,8,8,4,6,9,6,5,2,8,7,7,B
LR2641,2,4,4,3,1,9,5,3,7,15,6,12,0,7,0,8,J
LR2642,2,3,4,1,2,7,7,2,7,11,7,9,1,9,4,8,E
LR2643,4,5,5,4,3,4,7,5,8,7,6,13,3,8,5,9,K
LR2644,3,7,4,9,5,8,7,8,3,5,6,9,3,8,6,10,Q
LR2645,3,8,4,6,4,5,8,7,5,6,4,9,3,6,5,8,R
LR2646,8,14,8,8,6,4,8,1,3,8,9,8,10,11,2,6,W
LR2647,5,8,7,6,4,6,7,6,6,6,6,9,4,7,4,8,G
LR2648,3,5,4,3,2,5,12,3,7,11,9,5,1,11,2,5,T
LR2649,2,5,2,3,1,4,3,3,7,2,2,6,0,7,0,6,L
LR2650,3,4,4,6,2,7,5,7,7,5,5,10,1,8,6,11,G
LR2651,3,6,4,4,1,4,8,8,1,7,6,11,3,8,3,11,K
LR2652,4,9,6,7,6,7,9,3,8,7,6,8,2,10,13,6,Z
LR2653,4,9,6,7,6,8,9,7,2,6,6,11,4,7,8,9,E
LR2654,4,10,6,7,4,9,6,3,7,10,6,8,2,9,4,9,S
LR2655,3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8,X
LR2656,6,11,9,8,10,7,10,6,4,7,7,8,6,8,6,8,M
LR2657,3,4,4,3,2,7,7,3,9,6,6,10,2,8,6,7,X
LR2658,3,9,4,6,3,5,8,8,7,10,8,12,2,11,4,10,C
LR2659,4,10,6,8,8,7,7,4,6,7,7,9,5,9,5,7,T
LR2660,2,6,4,4,1,7,5,3,1,6,0,8,2,7,1,7,A
LR2661,5,9,7,6,9,8,6,5,4,7,7,8,7,9,7,9,B
LR2662,4,7,6,5,4,3,8,2,6,10,9,11,3,8,2,6,K
LR2663,3,4,6,2,3,7,7,2,7,10,6,9,4,8,4,7,K
LR2664,7,12,6,7,4,9,8,3,7,11,5,6,2,8,6,7,T
LR2665,11,14,12,8,7,8,9,3,4,6,9,6,11,8,2,6,W
LR2666,3,7,5,5,3,9,8,6,6,8,5,8,3,7,6,10,R
LR2667,6,8,9,6,10,6,8,4,3,7,4,8,14,3,4,7,M
LR2668,4,9,5,7,4,8,6,13,4,7,11,8,3,9,0,8,U
LR2669,1,0,2,0,0,7,6,9,0,7,8,8,5,6,0,8,M
LR2670,5,11,5,8,4,1,13,5,4,12,10,6,0,8,2,6,F
LR2671,3,7,5,5,3,7,4,1,7,8,2,9,1,6,2,8,L
LR2672,1,6,1,4,1,7,7,1,6,7,6,8,0,8,2,8,I
LR2673,7,11,9,8,8,6,7,7,5,7,7,6,4,7,4,8,D
LR2674,6,8,6,6,2,2,12,4,6,13,12,6,1,11,1,6,Y
LR2675,3,4,4,6,2,8,5,14,5,6,13,8,3,9,0,8,U
LR2676,6,10,9,8,7,10,9,6,5,7,6,8,4,9,10,7,Z
LR2677,7,11,8,8,4,4,8,7,8,10,9,9,3,9,3,5,U
LR2678,3,7,4,5,3,10,6,3,7,11,3,6,3,8,3,9,D
LR2679,9,14,9,8,5,7,4,4,5,12,8,12,4,9,6,10,L
LR2680,1,11,0,8,1,7,7,5,3,7,6,8,0,8,0,8,I
LR2681,4,9,5,7,4,7,6,8,4,7,5,9,3,8,3,8,O
LR2682,5,11,7,8,7,9,7,4,5,10,4,5,3,8,3,8,D
LR2683,2,1,3,3,2,7,7,6,6,7,6,5,2,8,2,7,D
