car,buying,maint,doors,persons,lug_boot,safety,car_acceptabillity
c629,high,high,5more,2,big,med,unacc
c630,high,high,5more,2,big,high,unacc
c631,high,high,5more,4,small,low,unacc
c632,high,high,5more,4,small,med,unacc
c633,high,high,5more,4,small,high,acc
c634,high,high,5more,4,med,low,unacc
c635,high,high,5more,4,med,med,acc
c636,high,high,5more,4,med,high,acc
c637,high,high,5more,4,big,low,unacc
c638,high,high,5more,4,big,med,acc
c639,high,high,5more,4,big,high,acc
c640,high,high,5more,more,small,low,unacc
c641,high,high,5more,more,small,med,unacc
c642,high,high,5more,more,small,high,acc
c643,high,high,5more,more,med,low,unacc
c644,high,high,5more,more,med,med,acc
c645,high,high,5more,more,med,high,acc
c646,high,high,5more,more,big,low,unacc
c647,high,high,5more,more,big,med,acc
c648,high,high,5more,more,big,high,acc
c649,high,med,2,2,small,low,unacc
c650,high,med,2,2,small,med,unacc
c651,high,med,2,2,small,high,unacc
c652,high,med,2,2,med,low,unacc
c653,high,med,2,2,med,med,unacc
c654,high,med,2,2,med,high,unacc
c655,high,med,2,2,big,low,unacc
c656,high,med,2,2,big,med,unacc
c657,high,med,2,2,big,high,unacc
c658,high,med,2,4,small,low,unacc
c659,high,med,2,4,small,med,unacc
c660,high,med,2,4,small,high,acc
c661,high,med,2,4,med,low,unacc
c662,high,med,2,4,med,med,unacc
c663,high,med,2,4,med,high,acc
c664,high,med,2,4,big,low,unacc
c665,high,med,2,4,big,med,acc
c666,high,med,2,4,big,high,acc
c667,high,med,2,more,small,low,unacc
c668,high,med,2,more,small,med,unacc
c669,high,med,2,more,small,high,unacc
c670,high,med,2,more,med,low,unacc
c671,high,med,2,more,med,med,unacc
c672,high,med,2,more,med,high,acc
c673,high,med,2,more,big,low,unacc
c674,high,med,2,more,big,med,acc
c675,high,med,2,more,big,high,acc
c676,high,med,3,2,small,low,unacc
c677,high,med,3,2,small,med,unacc
c678,high,med,3,2,small,high,unacc
c679,high,med,3,2,med,low,unacc
c680,high,med,3,2,med,med,unacc
c681,high,med,3,2,med,high,unacc
c682,high,med,3,2,big,low,unacc
c683,high,med,3,2,big,med,unacc
c684,high,med,3,2,big,high,unacc
c685,high,med,3,4,small,low,unacc
c686,high,med,3,4,small,med,unacc
c687,high,med,3,4,small,high,acc
c688,high,med,3,4,med,low,unacc
c689,high,med,3,4,med,med,unacc
c690,high,med,3,4,med,high,acc
c691,high,med,3,4,big,low,unacc
c692,high,med,3,4,big,med,acc
c693,high,med,3,4,big,high,acc
c694,high,med,3,more,small,low,unacc
c695,high,med,3,more,small,med,unacc
c696,high,med,3,more,small,high,acc
c697,high,med,3,more,med,low,unacc
c698,high,med,3,more,med,med,acc
c699,high,med,3,more,med,high,acc
c700,high,med,3,more,big,low,unacc
c701,high,med,3,more,big,med,acc
c702,high,med,3,more,big,high,acc
c703,high,med,4,2,small,low,unacc
c704,high,med,4,2,small,med,unacc
c705,high,med,4,2,small,high,unacc
c706,high,med,4,2,med,low,unacc
c707,high,med,4,2,med,med,unacc
c708,high,med,4,2,med,high,unacc
c709,high,med,4,2,big,low,unacc
c710,high,med,4,2,big,med,unacc
c711,high,med,4,2,big,high,unacc
c712,high,med,4,4,small,low,unacc
c713,high,med,4,4,small,med,unacc
c714,high,med,4,4,small,high,acc
c715,high,med,4,4,med,low,unacc
c716,high,med,4,4,med,med,acc
c717,high,med,4,4,med,high,acc
c718,high,med,4,4,big,low,unacc
c719,high,med,4,4,big,med,acc
c720,high,med,4,4,big,high,acc
c721,high,med,4,more,small,low,unacc
c722,high,med,4,more,small,med,unacc
c723,high,med,4,more,small,high,acc
c724,high,med,4,more,med,low,unacc
c725,high,med,4,more,med,med,acc
c726,high,med,4,more,med,high,acc
c727,high,med,4,more,big,low,unacc
c728,high,med,4,more,big,med,acc
c729,high,med,4,more,big,high,acc
c730,high,med,5more,2,small,low,unacc
c731,high,med,5more,2,small,med,unacc
c732,high,med,5more,2,small,high,unacc
c733,high,med,5more,2,med,low,unacc
c734,high,med,5more,2,med,med,unacc
c735,high,med,5more,2,med,high,unacc
c736,high,med,5more,2,big,low,unacc
c737,high,med,5more,2,big,med,unacc
c738,high,med,5more,2,big,high,unacc
c739,high,med,5more,4,small,low,unacc
c740,high,med,5more,4,small,med,unacc
c741,high,med,5more,4,small,high,acc
c742,high,med,5more,4,med,low,unacc
c743,high,med,5more,4,med,med,acc
c744,high,med,5more,4,med,high,acc
c745,high,med,5more,4,big,low,unacc
c746,high,med,5more,4,big,med,acc
c747,high,med,5more,4,big,high,acc
c748,high,med,5more,more,small,low,unacc
c749,high,med,5more,more,small,med,unacc
c750,high,med,5more,more,small,high,acc
c751,high,med,5more,more,med,low,unacc
c752,high,med,5more,more,med,med,acc
c753,high,med,5more,more,med,high,acc
c754,high,med,5more,more,big,low,unacc
c755,high,med,5more,more,big,med,acc
c756,high,med,5more,more,big,high,acc
c757,high,low,2,2,small,low,unacc
c758,high,low,2,2,small,med,unacc
c759,high,low,2,2,small,high,unacc
c760,high,low,2,2,med,low,unacc
c761,high,low,2,2,med,med,unacc
c762,high,low,2,2,med,high,unacc
c763,high,low,2,2,big,low,unacc
c764,high,low,2,2,big,med,unacc
c765,high,low,2,2,big,high,unacc
c766,high,low,2,4,small,low,unacc
c767,high,low,2,4,small,med,unacc
c768,high,low,2,4,small,high,acc
c769,high,low,2,4,med,low,unacc
c770,high,low,2,4,med,med,unacc
c771,high,low,2,4,med,high,acc
c772,high,low,2,4,big,low,unacc
c773,high,low,2,4,big,med,acc
c774,high,low,2,4,big,high,acc
c775,high,low,2,more,small,low,unacc
c776,high,low,2,more,small,med,unacc
c777,high,low,2,more,small,high,unacc
c778,high,low,2,more,med,low,unacc
c779,high,low,2,more,med,med,unacc
c780,high,low,2,more,med,high,acc
c781,high,low,2,more,big,low,unacc
c782,high,low,2,more,big,med,acc
c783,high,low,2,more,big,high,acc
c784,high,low,3,2,small,low,unacc
c785,high,low,3,2,small,med,unacc
c786,high,low,3,2,small,high,unacc
c787,high,low,3,2,med,low,unacc
c788,high,low,3,2,med,med,unacc
c789,high,low,3,2,med,high,unacc
c790,high,low,3,2,big,low,unacc
c791,high,low,3,2,big,med,unacc
c792,high,low,3,2,big,high,unacc
c793,high,low,3,4,small,low,unacc
c794,high,low,3,4,small,med,unacc
c795,high,low,3,4,small,high,acc
c796,high,low,3,4,med,low,unacc
c797,high,low,3,4,med,med,unacc
c798,high,low,3,4,med,high,acc
c799,high,low,3,4,big,low,unacc
c800,high,low,3,4,big,med,acc
c801,high,low,3,4,big,high,acc
c802,high,low,3,more,small,low,unacc
c803,high,low,3,more,small,med,unacc
c804,high,low,3,more,small,high,acc
c805,high,low,3,more,med,low,unacc
c806,high,low,3,more,med,med,acc
c807,high,low,3,more,med,high,acc
c808,high,low,3,more,big,low,unacc
c809,high,low,3,more,big,med,acc
c810,high,low,3,more,big,high,acc
c811,high,low,4,2,small,low,unacc
c812,high,low,4,2,small,med,unacc
c813,high,low,4,2,small,high,unacc
c814,high,low,4,2,med,low,unacc
c815,high,low,4,2,med,med,unacc
c816,high,low,4,2,med,high,unacc
c817,high,low,4,2,big,low,unacc
c818,high,low,4,2,big,med,unacc
c819,high,low,4,2,big,high,unacc
c820,high,low,4,4,small,low,unacc
c821,high,low,4,4,small,med,unacc
c822,high,low,4,4,small,high,acc
c823,high,low,4,4,med,low,unacc
c824,high,low,4,4,med,med,acc
c825,high,low,4,4,med,high,acc
c826,high,low,4,4,big,low,unacc
c827,high,low,4,4,big,med,acc
c828,high,low,4,4,big,high,acc
c829,high,low,4,more,small,low,unacc
c830,high,low,4,more,small,med,unacc
c831,high,low,4,more,small,high,acc
c832,high,low,4,more,med,low,unacc
c833,high,low,4,more,med,med,acc
c834,high,low,4,more,med,high,acc
c835,high,low,4,more,big,low,unacc
c836,high,low,4,more,big,med,acc
c837,high,low,4,more,big,high,acc
c838,high,low,5more,2,small,low,unacc
c839,high,low,5more,2,small,med,unacc
c840,high,low,5more,2,small,high,unacc
c841,high,low,5more,2,med,low,unacc
c842,high,low,5more,2,med,med,unacc
c843,high,low,5more,2,med,high,unacc
c844,high,low,5more,2,big,low,unacc
c845,high,low,5more,2,big,med,unacc
c846,high,low,5more,2,big,high,unacc
c847,high,low,5more,4,small,low,unacc
c848,high,low,5more,4,small,med,unacc
c849,high,low,5more,4,small,high,acc
c850,high,low,5more,4,med,low,unacc
c851,high,low,5more,4,med,med,acc
c852,high,low,5more,4,med,high,acc
c853,high,low,5more,4,big,low,unacc
c854,high,low,5more,4,big,med,acc
c855,high,low,5more,4,big,high,acc
c856,high,low,5more,more,small,low,unacc
c857,high,low,5more,more,small,med,unacc
c858,high,low,5more,more,small,high,acc
c859,high,low,5more,more,med,low,unacc
c860,high,low,5more,more,med,med,acc
c861,high,low,5more,more,med,high,acc
c862,high,low,5more,more,big,low,unacc
c863,high,low,5more,more,big,med,acc
c864,high,low,5more,more,big,high,acc
c865,med,vhigh,2,2,small,low,unacc
c866,med,vhigh,2,2,small,med,unacc
c867,med,vhigh,2,2,small,high,unacc
c868,med,vhigh,2,2,med,low,unacc
c869,med,vhigh,2,2,med,med,unacc
c870,med,vhigh,2,2,med,high,unacc
c871,med,vhigh,2,2,big,low,unacc
c872,med,vhigh,2,2,big,med,unacc
c873,med,vhigh,2,2,big,high,unacc
c874,med,vhigh,2,4,small,low,unacc
c875,med,vhigh,2,4,small,med,unacc
c876,med,vhigh,2,4,small,high,acc
c877,med,vhigh,2,4,med,low,unacc
c878,med,vhigh,2,4,med,med,unacc
c879,med,vhigh,2,4,med,high,acc
c880,med,vhigh,2,4,big,low,unacc
c881,med,vhigh,2,4,big,med,acc
c882,med,vhigh,2,4,big,high,acc
c883,med,vhigh,2,more,small,low,unacc
c884,med,vhigh,2,more,small,med,unacc
c885,med,vhigh,2,more,small,high,unacc
c886,med,vhigh,2,more,med,low,unacc
c887,med,vhigh,2,more,med,med,unacc
c888,med,vhigh,2,more,med,high,acc
c889,med,vhigh,2,more,big,low,unacc
c890,med,vhigh,2,more,big,med,acc
c891,med,vhigh,2,more,big,high,acc
c892,med,vhigh,3,2,small,low,unacc
c893,med,vhigh,3,2,small,med,unacc
c894,med,vhigh,3,2,small,high,unacc
c895,med,vhigh,3,2,med,low,unacc
c896,med,vhigh,3,2,med,med,unacc
c897,med,vhigh,3,2,med,high,unacc
c898,med,vhigh,3,2,big,low,unacc
c899,med,vhigh,3,2,big,med,unacc
c900,med,vhigh,3,2,big,high,unacc
c901,med,vhigh,3,4,small,low,unacc
c902,med,vhigh,3,4,small,med,unacc
c903,med,vhigh,3,4,small,high,acc
c904,med,vhigh,3,4,med,low,unacc
c905,med,vhigh,3,4,med,med,unacc
c906,med,vhigh,3,4,med,high,acc
c907,med,vhigh,3,4,big,low,unacc
c908,med,vhigh,3,4,big,med,acc
c909,med,vhigh,3,4,big,high,acc
c910,med,vhigh,3,more,small,low,unacc
c911,med,vhigh,3,more,small,med,unacc
c912,med,vhigh,3,more,small,high,acc
c913,med,vhigh,3,more,med,low,unacc
c914,med,vhigh,3,more,med,med,acc
c915,med,vhigh,3,more,med,high,acc
c916,med,vhigh,3,more,big,low,unacc
c917,med,vhigh,3,more,big,med,acc
c918,med,vhigh,3,more,big,high,acc
c919,med,vhigh,4,2,small,low,unacc
c920,med,vhigh,4,2,small,med,unacc
c921,med,vhigh,4,2,small,high,unacc
c922,med,vhigh,4,2,med,low,unacc
c923,med,vhigh,4,2,med,med,unacc
c924,med,vhigh,4,2,med,high,unacc
c925,med,vhigh,4,2,big,low,unacc
c926,med,vhigh,4,2,big,med,unacc
c927,med,vhigh,4,2,big,high,unacc
c928,med,vhigh,4,4,small,low,unacc
c929,med,vhigh,4,4,small,med,unacc
c930,med,vhigh,4,4,small,high,acc
c931,med,vhigh,4,4,med,low,unacc
c932,med,vhigh,4,4,med,med,acc
c933,med,vhigh,4,4,med,high,acc
c934,med,vhigh,4,4,big,low,unacc
c935,med,vhigh,4,4,big,med,acc
c936,med,vhigh,4,4,big,high,acc
c937,med,vhigh,4,more,small,low,unacc
c938,med,vhigh,4,more,small,med,unacc
c939,med,vhigh,4,more,small,high,acc
c940,med,vhigh,4,more,med,low,unacc
c941,med,vhigh,4,more,med,med,acc
c942,med,vhigh,4,more,med,high,acc
c943,med,vhigh,4,more,big,low,unacc
c944,med,vhigh,4,more,big,med,acc
c945,med,vhigh,4,more,big,high,acc
c946,med,vhigh,5more,2,small,low,unacc
c947,med,vhigh,5more,2,small,med,unacc
c948,med,vhigh,5more,2,small,high,unacc
c949,med,vhigh,5more,2,med,low,unacc
c950,med,vhigh,5more,2,med,med,unacc
c951,med,vhigh,5more,2,med,high,unacc
c952,med,vhigh,5more,2,big,low,unacc
c953,med,vhigh,5more,2,big,med,unacc
c954,med,vhigh,5more,2,big,high,unacc
c955,med,vhigh,5more,4,small,low,unacc
c956,med,vhigh,5more,4,small,med,unacc
c957,med,vhigh,5more,4,small,high,acc
c958,med,vhigh,5more,4,med,low,unacc
c959,med,vhigh,5more,4,med,med,acc
c960,med,vhigh,5more,4,med,high,acc
c961,med,vhigh,5more,4,big,low,unacc
c962,med,vhigh,5more,4,big,med,acc
c963,med,vhigh,5more,4,big,high,acc
c964,med,vhigh,5more,more,small,low,unacc
c965,med,vhigh,5more,more,small,med,unacc
c966,med,vhigh,5more,more,small,high,acc
c967,med,vhigh,5more,more,med,low,unacc
c968,med,vhigh,5more,more,med,med,acc
c969,med,vhigh,5more,more,med,high,acc
c970,med,vhigh,5more,more,big,low,unacc
c971,med,vhigh,5more,more,big,med,acc
c972,med,vhigh,5more,more,big,high,acc
c973,med,high,2,2,small,low,unacc
c974,med,high,2,2,small,med,unacc
c975,med,high,2,2,small,high,unacc
c976,med,high,2,2,med,low,unacc
c977,med,high,2,2,med,med,unacc
c978,med,high,2,2,med,high,unacc
c979,med,high,2,2,big,low,unacc
c980,med,high,2,2,big,med,unacc
c981,med,high,2,2,big,high,unacc
c982,med,high,2,4,small,low,unacc
c983,med,high,2,4,small,med,unacc
c984,med,high,2,4,small,high,acc
c985,med,high,2,4,med,low,unacc
c986,med,high,2,4,med,med,unacc
c987,med,high,2,4,med,high,acc
c988,med,high,2,4,big,low,unacc
c989,med,high,2,4,big,med,acc
c990,med,high,2,4,big,high,acc
c991,med,high,2,more,small,low,unacc
c992,med,high,2,more,small,med,unacc
c993,med,high,2,more,small,high,unacc
c994,med,high,2,more,med,low,unacc
c995,med,high,2,more,med,med,unacc
c996,med,high,2,more,med,high,acc
c997,med,high,2,more,big,low,unacc
c998,med,high,2,more,big,med,acc
c999,med,high,2,more,big,high,acc
c1000,med,high,3,2,small,low,unacc
c1001,med,high,3,2,small,med,unacc
c1002,med,high,3,2,small,high,unacc
c1003,med,high,3,2,med,low,unacc
c1004,med,high,3,2,med,med,unacc
c1005,med,high,3,2,med,high,unacc
c1006,med,high,3,2,big,low,unacc
c1007,med,high,3,2,big,med,unacc
c1008,med,high,3,2,big,high,unacc
c1009,med,high,3,4,small,low,unacc
c1010,med,high,3,4,small,med,unacc
c1011,med,high,3,4,small,high,acc
c1012,med,high,3,4,med,low,unacc
c1013,med,high,3,4,med,med,unacc
c1014,med,high,3,4,med,high,acc
c1015,med,high,3,4,big,low,unacc
c1016,med,high,3,4,big,med,acc
c1017,med,high,3,4,big,high,acc
c1018,med,high,3,more,small,low,unacc
c1019,med,high,3,more,small,med,unacc
c1020,med,high,3,more,small,high,acc
c1021,med,high,3,more,med,low,unacc
c1022,med,high,3,more,med,med,acc
c1023,med,high,3,more,med,high,acc
c1024,med,high,3,more,big,low,unacc
c1025,med,high,3,more,big,med,acc
c1026,med,high,3,more,big,high,acc
c1027,med,high,4,2,small,low,unacc
c1028,med,high,4,2,small,med,unacc
c1029,med,high,4,2,small,high,unacc
c1030,med,high,4,2,med,low,unacc
c1031,med,high,4,2,med,med,unacc
c1032,med,high,4,2,med,high,unacc
c1033,med,high,4,2,big,low,unacc
c1034,med,high,4,2,big,med,unacc
c1035,med,high,4,2,big,high,unacc
c1036,med,high,4,4,small,low,unacc
c1037,med,high,4,4,small,med,unacc
c1038,med,high,4,4,small,high,acc
c1039,med,high,4,4,med,low,unacc
c1040,med,high,4,4,med,med,acc
c1041,med,high,4,4,med,high,acc
c1042,med,high,4,4,big,low,unacc
c1043,med,high,4,4,big,med,acc
c1044,med,high,4,4,big,high,acc
c1045,med,high,4,more,small,low,unacc
c1046,med,high,4,more,small,med,unacc
c1047,med,high,4,more,small,high,acc
c1048,med,high,4,more,med,low,unacc
c1049,med,high,4,more,med,med,acc
c1050,med,high,4,more,med,high,acc
c1051,med,high,4,more,big,low,unacc
c1052,med,high,4,more,big,med,acc
c1053,med,high,4,more,big,high,acc
c1054,med,high,5more,2,small,low,unacc
c1055,med,high,5more,2,small,med,unacc
c1056,med,high,5more,2,small,high,unacc
c1057,med,high,5more,2,med,low,unacc
c1058,med,high,5more,2,med,med,unacc
c1059,med,high,5more,2,med,high,unacc
c1060,med,high,5more,2,big,low,unacc
c1061,med,high,5more,2,big,med,unacc
c1062,med,high,5more,2,big,high,unacc
c1063,med,high,5more,4,small,low,unacc
c1064,med,high,5more,4,small,med,unacc
c1065,med,high,5more,4,small,high,acc
c1066,med,high,5more,4,med,low,unacc
c1067,med,high,5more,4,med,med,acc
c1068,med,high,5more,4,med,high,acc
c1069,med,high,5more,4,big,low,unacc
c1070,med,high,5more,4,big,med,acc
c1071,med,high,5more,4,big,high,acc
c1072,med,high,5more,more,small,low,unacc
c1073,med,high,5more,more,small,med,unacc
c1074,med,high,5more,more,small,high,acc
c1075,med,high,5more,more,med,low,unacc
c1076,med,high,5more,more,med,med,acc
c1077,med,high,5more,more,med,high,acc
c1078,med,high,5more,more,big,low,unacc
c1079,med,high,5more,more,big,med,acc
c1080,med,high,5more,more,big,high,acc
c1081,med,med,2,2,small,low,unacc
c1082,med,med,2,2,small,med,unacc
c1083,med,med,2,2,small,high,unacc
c1084,med,med,2,2,med,low,unacc
c1085,med,med,2,2,med,med,unacc
c1086,med,med,2,2,med,high,unacc
c1087,med,med,2,2,big,low,unacc
c1088,med,med,2,2,big,med,unacc
c1089,med,med,2,2,big,high,unacc
c1090,med,med,2,4,small,low,unacc
c1091,med,med,2,4,small,med,acc
c1092,med,med,2,4,small,high,acc
c1093,med,med,2,4,med,low,unacc
c1094,med,med,2,4,med,med,acc
c1095,med,med,2,4,med,high,acc
c1096,med,med,2,4,big,low,unacc
c1097,med,med,2,4,big,med,acc
c1098,med,med,2,4,big,high,vgood
c1099,med,med,2,more,small,low,unacc
c1100,med,med,2,more,small,med,unacc
c1101,med,med,2,more,small,high,unacc
c1102,med,med,2,more,med,low,unacc
c1103,med,med,2,more,med,med,acc
c1104,med,med,2,more,med,high,acc
c1105,med,med,2,more,big,low,unacc
c1106,med,med,2,more,big,med,acc
c1107,med,med,2,more,big,high,vgood
c1108,med,med,3,2,small,low,unacc
c1109,med,med,3,2,small,med,unacc
c1110,med,med,3,2,small,high,unacc
c1111,med,med,3,2,med,low,unacc
c1112,med,med,3,2,med,med,unacc
c1113,med,med,3,2,med,high,unacc
c1114,med,med,3,2,big,low,unacc
c1115,med,med,3,2,big,med,unacc
c1116,med,med,3,2,big,high,unacc
c1117,med,med,3,4,small,low,unacc
c1118,med,med,3,4,small,med,acc
c1119,med,med,3,4,small,high,acc
c1120,med,med,3,4,med,low,unacc
c1121,med,med,3,4,med,med,acc
c1122,med,med,3,4,med,high,acc
c1123,med,med,3,4,big,low,unacc
c1124,med,med,3,4,big,med,acc
c1125,med,med,3,4,big,high,vgood
c1126,med,med,3,more,small,low,unacc
c1127,med,med,3,more,small,med,acc
c1128,med,med,3,more,small,high,acc
c1129,med,med,3,more,med,low,unacc
c1130,med,med,3,more,med,med,acc
c1131,med,med,3,more,med,high,vgood
c1132,med,med,3,more,big,low,unacc
c1133,med,med,3,more,big,med,acc
c1134,med,med,3,more,big,high,vgood
c1135,med,med,4,2,small,low,unacc
c1136,med,med,4,2,small,med,unacc
c1137,med,med,4,2,small,high,unacc
c1138,med,med,4,2,med,low,unacc
c1139,med,med,4,2,med,med,unacc
c1140,med,med,4,2,med,high,unacc
c1141,med,med,4,2,big,low,unacc
c1142,med,med,4,2,big,med,unacc
c1143,med,med,4,2,big,high,unacc
c1144,med,med,4,4,small,low,unacc
c1145,med,med,4,4,small,med,acc
c1146,med,med,4,4,small,high,acc
c1147,med,med,4,4,med,low,unacc
c1148,med,med,4,4,med,med,acc
c1149,med,med,4,4,med,high,vgood
c1150,med,med,4,4,big,low,unacc
c1151,med,med,4,4,big,med,acc
c1152,med,med,4,4,big,high,vgood
c1153,med,med,4,more,small,low,unacc
c1154,med,med,4,more,small,med,acc
c1155,med,med,4,more,small,high,acc
c1156,med,med,4,more,med,low,unacc
c1157,med,med,4,more,med,med,acc
c1158,med,med,4,more,med,high,vgood
c1159,med,med,4,more,big,low,unacc
c1160,med,med,4,more,big,med,acc
c1161,med,med,4,more,big,high,vgood
c1162,med,med,5more,2,small,low,unacc
c1163,med,med,5more,2,small,med,unacc
c1164,med,med,5more,2,small,high,unacc
c1165,med,med,5more,2,med,low,unacc
c1166,med,med,5more,2,med,med,unacc
c1167,med,med,5more,2,med,high,unacc
c1168,med,med,5more,2,big,low,unacc
c1169,med,med,5more,2,big,med,unacc
c1170,med,med,5more,2,big,high,unacc
c1171,med,med,5more,4,small,low,unacc
c1172,med,med,5more,4,small,med,acc
c1173,med,med,5more,4,small,high,acc
c1174,med,med,5more,4,med,low,unacc
c1175,med,med,5more,4,med,med,acc
c1176,med,med,5more,4,med,high,vgood
c1177,med,med,5more,4,big,low,unacc
c1178,med,med,5more,4,big,med,acc
c1179,med,med,5more,4,big,high,vgood
c1180,med,med,5more,more,small,low,unacc
c1181,med,med,5more,more,small,med,acc
c1182,med,med,5more,more,small,high,acc
c1183,med,med,5more,more,med,low,unacc
c1184,med,med,5more,more,med,med,acc
c1185,med,med,5more,more,med,high,vgood
c1186,med,med,5more,more,big,low,unacc
c1187,med,med,5more,more,big,med,acc
c1188,med,med,5more,more,big,high,vgood
c1189,med,low,2,2,small,low,unacc
c1190,med,low,2,2,small,med,unacc
c1191,med,low,2,2,small,high,unacc
c1192,med,low,2,2,med,low,unacc
c1193,med,low,2,2,med,med,unacc
c1194,med,low,2,2,med,high,unacc
c1195,med,low,2,2,big,low,unacc
c1196,med,low,2,2,big,med,unacc
c1197,med,low,2,2,big,high,unacc
c1198,med,low,2,4,small,low,unacc
c1199,med,low,2,4,small,med,acc
c1200,med,low,2,4,small,high,good
c1201,med,low,2,4,med,low,unacc
c1202,med,low,2,4,med,med,acc
c1203,med,low,2,4,med,high,good
c1204,med,low,2,4,big,low,unacc
c1205,med,low,2,4,big,med,good
c1206,med,low,2,4,big,high,vgood
c1207,med,low,2,more,small,low,unacc
c1208,med,low,2,more,small,med,unacc
c1209,med,low,2,more,small,high,unacc
c1210,med,low,2,more,med,low,unacc
c1211,med,low,2,more,med,med,acc
c1212,med,low,2,more,med,high,good
c1213,med,low,2,more,big,low,unacc
c1214,med,low,2,more,big,med,good
c1215,med,low,2,more,big,high,vgood
c1216,med,low,3,2,small,low,unacc
c1217,med,low,3,2,small,med,unacc
c1218,med,low,3,2,small,high,unacc
c1219,med,low,3,2,med,low,unacc
c1220,med,low,3,2,med,med,unacc
c1221,med,low,3,2,med,high,unacc
c1222,med,low,3,2,big,low,unacc
c1223,med,low,3,2,big,med,unacc
c1224,med,low,3,2,big,high,unacc
c1225,med,low,3,4,small,low,unacc
c1226,med,low,3,4,small,med,acc
c1227,med,low,3,4,small,high,good
c1228,med,low,3,4,med,low,unacc
c1229,med,low,3,4,med,med,acc
c1230,med,low,3,4,med,high,good
c1231,med,low,3,4,big,low,unacc
c1232,med,low,3,4,big,med,good
c1233,med,low,3,4,big,high,vgood
c1234,med,low,3,more,small,low,unacc
c1235,med,low,3,more,small,med,acc
c1236,med,low,3,more,small,high,good
c1237,med,low,3,more,med,low,unacc
c1238,med,low,3,more,med,med,good
c1239,med,low,3,more,med,high,vgood
c1240,med,low,3,more,big,low,unacc
c1241,med,low,3,more,big,med,good
c1242,med,low,3,more,big,high,vgood
c1243,med,low,4,2,small,low,unacc
c1244,med,low,4,2,small,med,unacc
c1245,med,low,4,2,small,high,unacc
c1246,med,low,4,2,med,low,unacc
c1247,med,low,4,2,med,med,unacc
c1248,med,low,4,2,med,high,unacc
c1249,med,low,4,2,big,low,unacc
c1250,med,low,4,2,big,med,unacc
c1251,med,low,4,2,big,high,unacc
c1252,med,low,4,4,small,low,unacc
c1253,med,low,4,4,small,med,acc
c1254,med,low,4,4,small,high,good
c1255,med,low,4,4,med,low,unacc
c1256,med,low,4,4,med,med,good
c1257,med,low,4,4,med,high,vgood
c1258,med,low,4,4,big,low,unacc
c1259,med,low,4,4,big,med,good
c1260,med,low,4,4,big,high,vgood
c1261,med,low,4,more,small,low,unacc
c1262,med,low,4,more,small,med,acc
c1263,med,low,4,more,small,high,good
c1264,med,low,4,more,med,low,unacc
c1265,med,low,4,more,med,med,good
c1266,med,low,4,more,med,high,vgood
c1267,med,low,4,more,big,low,unacc
c1268,med,low,4,more,big,med,good
c1269,med,low,4,more,big,high,vgood
c1270,med,low,5more,2,small,low,unacc
c1271,med,low,5more,2,small,med,unacc
c1272,med,low,5more,2,small,high,unacc
c1273,med,low,5more,2,med,low,unacc
c1274,med,low,5more,2,med,med,unacc
c1275,med,low,5more,2,med,high,unacc
c1276,med,low,5more,2,big,low,unacc
c1277,med,low,5more,2,big,med,unacc
c1278,med,low,5more,2,big,high,unacc
c1279,med,low,5more,4,small,low,unacc
c1280,med,low,5more,4,small,med,acc
c1281,med,low,5more,4,small,high,good
c1282,med,low,5more,4,med,low,unacc
c1283,med,low,5more,4,med,med,good
c1284,med,low,5more,4,med,high,vgood
c1285,med,low,5more,4,big,low,unacc
c1286,med,low,5more,4,big,med,good
c1287,med,low,5more,4,big,high,vgood
c1288,med,low,5more,more,small,low,unacc
c1289,med,low,5more,more,small,med,acc
c1290,med,low,5more,more,small,high,good
c1291,med,low,5more,more,med,low,unacc
c1292,med,low,5more,more,med,med,good
c1293,med,low,5more,more,med,high,vgood
c1294,med,low,5more,more,big,low,unacc
c1295,med,low,5more,more,big,med,good
c1296,med,low,5more,more,big,high,vgood
c1297,low,vhigh,2,2,small,low,unacc
c1298,low,vhigh,2,2,small,med,unacc
c1299,low,vhigh,2,2,small,high,unacc
c1300,low,vhigh,2,2,med,low,unacc
c1301,low,vhigh,2,2,med,med,unacc
c1302,low,vhigh,2,2,med,high,unacc
c1303,low,vhigh,2,2,big,low,unacc
c1304,low,vhigh,2,2,big,med,unacc
c1305,low,vhigh,2,2,big,high,unacc
c1306,low,vhigh,2,4,small,low,unacc
c1307,low,vhigh,2,4,small,med,unacc
c1308,low,vhigh,2,4,small,high,acc
c1309,low,vhigh,2,4,med,low,unacc
c1310,low,vhigh,2,4,med,med,unacc
c1311,low,vhigh,2,4,med,high,acc
c1312,low,vhigh,2,4,big,low,unacc
c1313,low,vhigh,2,4,big,med,acc
c1314,low,vhigh,2,4,big,high,acc
c1315,low,vhigh,2,more,small,low,unacc
c1316,low,vhigh,2,more,small,med,unacc
c1317,low,vhigh,2,more,small,high,unacc
c1318,low,vhigh,2,more,med,low,unacc
c1319,low,vhigh,2,more,med,med,unacc
c1320,low,vhigh,2,more,med,high,acc
c1321,low,vhigh,2,more,big,low,unacc
c1322,low,vhigh,2,more,big,med,acc
c1323,low,vhigh,2,more,big,high,acc
c1324,low,vhigh,3,2,small,low,unacc
c1325,low,vhigh,3,2,small,med,unacc
c1326,low,vhigh,3,2,small,high,unacc
c1327,low,vhigh,3,2,med,low,unacc
