id,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,class
387,0,2,1,0,1,1,0,1,0,0,1,0,0,0,0,2,1
388,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,2,1
389,0,1,1,1,1,1,0,0,0,0,0,1,1,1,0,2,1
390,1,0,1,0,0,0,1,1,1,2,1,0,0,0,1,2,1
391,2,2,0,0,2,1,2,0,0,0,1,1,0,1,0,2,1
392,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1
393,1,1,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
394,2,2,2,2,0,1,0,1,1,0,0,1,1,0,0,2,0
395,1,1,2,2,2,1,0,0,0,0,1,0,1,0,0,1,1
396,1,1,1,2,0,0,0,1,0,0,1,2,0,0,1,1,1
397,1,1,1,0,1,1,0,1,0,0,1,0,1,0,1,1,1
398,1,1,0,0,1,2,0,0,0,0,1,0,1,1,0,1,1
399,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,1
400,0,1,0,1,2,1,0,0,0,1,0,1,1,1,0,0,0
401,0,1,0,1,1,1,0,2,0,0,2,2,2,1,0,2,0
402,0,1,0,1,1,1,0,0,0,1,1,1,1,1,0,0,0
403,2,0,1,1,0,1,1,1,1,1,0,1,0,1,0,1,0
404,0,1,0,1,1,1,0,0,0,1,0,1,2,1,0,0,0
405,1,1,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
406,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,1,0
407,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1
408,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,0,1
409,1,0,1,0,0,1,1,1,1,0,0,1,2,1,1,1,1
410,0,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0
411,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
412,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1
413,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,1,0
414,1,1,1,1,1,1,1,1,0,1,2,2,2,1,0,1,0
415,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
416,0,1,1,0,0,1,1,1,2,1,0,0,0,0,0,1,1
417,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,1,0
418,1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1
419,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,1
420,1,1,1,0,0,0,1,1,1,0,0,0,0,0,0,1,1
421,1,1,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0
422,0,1,1,0,1,1,1,1,0,0,1,0,1,0,1,1,1
423,0,0,1,0,0,1,1,1,1,0,1,0,0,0,1,1,1
424,0,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
425,0,1,1,0,0,2,1,1,1,1,1,0,2,1,1,1,1
426,0,0,1,0,0,0,1,1,0,1,1,0,0,0,1,2,1
427,1,0,1,0,0,0,1,1,1,1,0,0,0,0,1,1,1
428,0,0,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0
429,2,2,2,0,0,0,1,1,1,1,0,0,1,0,1,1,1
430,1,0,1,0,2,0,1,1,1,1,0,1,0,2,1,1,1
431,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,0
432,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1
433,0,2,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0
434,0,0,0,1,1,1,2,2,2,2,0,1,1,1,0,1,0
435,0,1,0,1,1,1,0,0,0,1,0,1,1,1,2,0,0
